Artist,Album
E,Broken Toy Shop
E-40,The Mailman
E-40,Tell Me When to Go
E. C. Scott,Masterpiece
E.C. Scott,Hard Act to Follow
e.s.t.,Somewhere Else Before
Each Other,Each Other
Eagle and Talon ,Eagle and Talon Cares
Eagles of Death Metal,Heart On
Eagles of Death Metal,I gotta Feeling (Just Nineteen)  (Single)
Eagles of Death Metal,Wannabe in LA
"Eames Era, The",Heroes + Sheroes
Ear Pwr,Ear PWR
Ear Pwr,Super Animal Brothers III
Earl Greyhound,Debut EP
Earl Slick,In Your Face
Earlimart,Hymn and Her
Earlimart,Kingdom of Champions
Earlimart,The Avenues E.P.
Early Man,Modern Music
Earshot,Earshot Samplet
Earth Crisis,The Last of the Shine
Earth Eighteen,E18
Earth Eighteen,Butterfly
Earth Eighteen,Earth Eighteen
Earth n Bass,Volume 1
Earth vs the Wildhearts,Earth vs the Wildhearts
Earthee,Thee Satisfaction
Easily Amused,Simple Stuff
East Coast Jive,Apollo Series 
East Los,Union 13
East River Pipe,Shining Hours in a Can
Eastern Conference Champions,Single Sedative
Eastern Conference Champions,Eastern Conference Champions
Eastern Conference Champions,The Southampton Collection
Eastern Conference Champions,Ameritown
Easthampton Savings Band,Kunst Master
Easy Big Fella,Eat At Joey's
Easy Star All-Stars,Easy Star'S Lonely Hearts Dub Band
Easy Star All-Stars,Dub Side of the Moon
Easy Tempo,eponymous
Eazy-E,Compton
Eban Schletter,Cosmic Christmas
"Ebb and Flow, The",Time to Echolocate
EBN,Telecommunication Breakdown
Ebon Lurks,One Night EP
Echo 7,One Step Away
Echo and the Bunnymen,Flowers
Echo and the Bunnymen,Live in Liverpool
Echo Bloom,Blue
Echo Revolution,A Safe Place to Bloom
Echobelly,Insomniac
Echobelly,On
Echobelly,Great Things
Echoboy,Giraffe
Echoboy,Volume 2
Echobrain,Glean
Echocast,Where the Future Ends
Echoes de Luxe,Hold On
Echolalia,Solid State Alone
Echolyn,As the World 
Echosmith,Talking Dreams
Echostar,Sola
"Eclectic Collective, The",The Flux
Ed Hale,The Syndicate
Ed Harcourt,The Beautiful Life
Ed Harcourt,Strangers
Ed Harcourt,Maplewood
Ed Harcourt,Here Be Monsters
Ed Hines Band,Girls; Their Hearts
Ed Laurie,Meanwhile in the Park
ED O.G. and Da Bulldogs,Skinny Dip
Ed Sanders,Songs in Ancient Greek
Ed's Redeeming Qualities,It's All Good News.
Eddi Front,Marina
