Artist,Album
F.Y.P,My Man Grumpy 
Fa Real,Second Chance
FA-Q,Each Hit
Fabric,Body of Water
Fabulon,In A Mood
Fabulon,All Girls Are Pretty
Fabulon,Fabulon
Fabulous Disaster,Panty Raid!
Fabulous Disaster,Put Out or Get Out
"Fabulous Thunderbirds, The","Walk That Walk, Talk That Talk"
"Fabulous Thunderbirds, The",Roll of the Dice
Face to Face  ,How to Ruin Everything
Face to Face vs Dropkick Murphys,Face to Face vs Dropkick Murphys
Facet,Playing Second
Fact & Fiction,A Perfect World
Faction of the Fox,Faction of the Fox
Factory 01,Mankind
"Fade, The",A New Design
Failure,Moth
Failure,Stuck on You
Failure,Fantastic Planet
"Faint, The",Media
"Faint, The",Fascination
"Faintest Ideas, The",What Goes Up Must Calm Down
"Fair Enough, The",The Fair Enough
Fair to Midland,Fables From a Mayfly: What I Tell You Three Times Is True
Fair to Midland,Dance of the Manatee
Fairground Attraction,The First of a Million Kisses
Fairground Attraction,Perfect
Fairview,We'll Dodge It N The Way Back
Fairweather,Lusitania
Faith & Disease,Insularia
Faith Healers UK,Imaginary Friend
"Faith Healers, The",L'
Faith Hussein,Ghetto Star
Faith No More,King for a Day
Faith No More,Easy
Faith No More,Evidence
Faith No More,A Small Victory
Faith No More,Album of the Year
Faith No More,Digging the Grave
Faith No More,Who Cares a Lot?
Faith No More,Sampler
Faith No More,Last Cup of Sorrow
Faithless,Reverence
Faithless,Outrospective
Faithless,Insomnia
Faithless,Muhammad Ali
Faithless,We Come 1
Faithless,Sunday 8PM
Faithless,Saturday 3 AM
Faithless,Reverence
Faithless,Insomnia
Faithless,4 Tracks
Fake Brain,So Glad You Came
Fake Brain,Push
Fake Problems,It's Great to Be Alive
Fall Out Boy,"This Ain't a Scene, It's an Arms Race"
Fall Out Boy,From Under the Cork Tree
"Fall, The",The Real New Fall LP
"Fall, The",The Infotainment Scan
"Fall, The",Reformation
"Fall, The",Your Future Our Clutter
Fallen From Grace,Catch it if you Can
Falling Joys,Wish List
Falling Sickness,Because the World Has Failed Us Both
Falling Walls,Falling Walls
False Front,Criminal Kind
False Positive,False Positive
False Prophets,Invisible People
"Family Cat, The",Wonderful Excuse
"Family Cat, The",Magic Happens
Family of Good,We Are The World
Family of the Year,St. Croix
"Family Stand, The",Moon In Scorpio
Family Values,Fall Tour '98
Famous,Famous
"Famous, The",Social Hero
Fan Death,"Coin for the Well, A"
Fan Modine,Slow Road to Tiny Empire
Fancey,Schmancey
Fancy Trash,Three Cheers for the Cheated
Fanno Creek,Monuments
Fannypack,So Stylistic
Fanshaw,Dark Eyes
Fantastic Plastic Machine,The Fantastic Plastic Machine
Fantastic Plastic Machine,Luxury
Fantastic Plastic Machine,
Far,Tin Cans With Strings To You
Far,Water & Solutions
Far From Even,Far From Even
Farewell to False Love,Farewell to False Love
"Farm, The",The Farm
Faruq Z. Bey with Northwoods Improvisers,Ashirai Pattern
Fashion TV,Spring-Summer 2001 Collection
"Fashion, The",The Fashion
Fastbacks,The Day That Didn't Exist
Fastbacks,New Mansions In Sound
Fastball,The Harsh Light of Day
Fastball,Make Your Mama Proud
Fastball,You're an Ocean
Faster Pussycat,House of Pain
Faster Pussycat,Where There's A Whip There's A Way
Fat Bag,Self-titled
Fat Boy,Slippery When Fat
Fat Boy Slim,"You've Come a Long Way, Baby"
Fat City,Animal Attraction
Fat Day,Unf! Unf! 
Fat Fingers,Fat Fingers
"Fat Lady Sings, The",Twist
Fat Possum,The Best of Fat Possum
Fat Tuesday,Califuneral
Fat Tuesday,High Low
Fat Tuesday,Everybody's Got One
Fat Tuesday,Califuneral (demo)
Fatal,Everyday
"Fatal Flowers, The",Johnny D. Is Back!
Fatboy Slim,Palookaville
Fatboy Slim,The Greatest Hits/Why Try Harder
Fatboy Slim,Ya Mama
Fatboy Slim,Better Through Living Chemistry
Fates Warning,Disconnected
Fates Warning,Still Life
Fates Warning,Parallels
Fates Warning,Point of View
Father John Misty,"I Love You, Honeybear"
Father John Misty,Pure Comedy
Father M.C.,Lisa Baby
Fathom Lane,Down by Half
Fatso Jetson,Toasted
Faultline,Your Love Means Everything
Faunts,Feel Love Thinking Of
Fauré Requiem,Fauré Requiem
