Artist,Album,Location
A Thousand Points of Night,Read My Lips,
II Tru,A New Breed of Female,Station
"Mindless, The and Ryan Lee",There is no Music,
T Bone Burnett,The Criminal Under My Own Hat,
T.A.L.L.,Into Another,
t.A.T.u,200 KM/H in The Wrong Lane ,
Ta-Gana,Advance,
Tab Smith,Ace High,
Tab Smith,Jump Time,
Tab Two ,Flagman Ahead,
Tabla Beat Science,Tala Matrix,
Tabula Rasa,The Role of Smith,
Tad,Infrared Riding Hood ,
Tad,Inhaler,
Tad,Leafy Incline,
Tag Team,"Here It Is, Bam!",
Tag Team Trampoline,Thanks Everything,
Tagging Satellites,One Night Falls,
Tahiti 80,Fosbury,
Tahiti 80,Wallpaper For The Soul,
Tailgunner,Tailgunner,
Taiwo Heard,Frontier to Eternity,
Taj Mahal,Taj Mahal ,
Taj Mahal,Phantom Blues,
Taja Sevelle,Toys of Vanity,
Takako Minekawa,Maxi On,
Taking Back Sunday,Where You Want To Be,
Taking Dawn,Time to Burn,
Talia Segal,Nonprophet,
Talib Kweli,Quality,
Talib Kweli,Eardrum,
Talib Kweli & Hi-Tek,Train of Thought,
Talk Engine,Something for Junior,
Talk Show,Hello Hello,
Talk Show,Talk Show,
Talk Talk,Laughing Stock,
"Talk, The",Its Like Magic In Reverse,
Talking Heads,Selections from Stop Making Sense,
Talking to Animals,Manhole,
Talking to Walls,We Were Not So Tall,
Tall Dark Stranger,There it Is,
Tall Days,Long Time No Talk,
Tall Hands,Tall Hands,
Tall Tales & True,Looking For A Place,
Tallahassee,Jealous Hands,
Tallest Man On Earth,The Wild Hunt,
"Tallest Man On Earth, The",Shallow Grave,
Tally Hall,Marvin's Marvelous Mechanical Museum,
Talvin Singh,OK,
Tam!,Hello My Friends Do You Read Me?,
Tangelo,Year of Saturdays,
Tangiers,Hot New Spirits,
Tangiers,Never Bring You Pleasure,
Tangle Eye,Alan Lomax's Southern Journey,
Tanita Tikaram,Eleven Kinds of Loneliness,
"Tantra Monsters, The",The Tantra Monsters,
Tanya Blount,Hold On,
Tanya Blount,Through The Rain,
Tanya Donelly,Beautysleep,
Tanya Donelly,Pretty Deep,
Tanya Donelly,Whiskey Tango Ghosts,
Tanya Donnely,Lovesongs for Underdogs,
Tanya Donnely,Pretty Deep,
Tapes 'n Tapes,The Loon,
Tapes 'n Tapes,Outside,
Tapes n' Tapes,Tapes n' Tapes,
Tapestry,Song of Songs,
Taproot,Welcome,
Taproot,Gift,
Taproot,Selections from Gift,
Tara Angell,Come Down,
Tara Beier,EP,
Tara Kemp,Tara Kemp,
Tara Priya,Tara Priya,
Taraf De Haidouks,Maskarada,
Tarantula AD,Book of Sand,
Tarbox Ramblers,Tarbox Ramblers,
Target Market,No Thrills ,
Tarlton,Evergreens,
Tarmac Adam,The History Effect,
Tarnation,Mirador,
Tarnation,The Hand,
Tarnation,Gentle Creatures,
Tarpigh,Monsieur Monsoon,
Tarras,Rising,
Tarwater,The Needle Was Traveling,
Tarwater,Spider Smile,
Tasmin Archer,Beyond and Back,
Tasmin Archer,Shipbuilders ,
Tasmin Archer,Great Expectations,
Tatiana Kochkareva,Infinity,
Tattoo the Earth,The First Crusade,
Tattoo Zil,Tattoo Zil,
"Taxis, The",Autopilot,
"Taxis, The",Rude Girls Ride Free,
Taylor Carrol,Supermess,
Taylor Hollingsworth,Tragic City,
Taylor Hollingsworth,Life With a Slow Ear,
Tea Cozies,Bang Up,
"Tea Party, The",Transmission,
"Tea Party, The",The Tea Party,
"Tea Party, The",The River,
Team Me,To the Treetops!,
Team Sleep,Team Sleep,
Team Spider,Bush Bush Bush,
Teammate,The Sequel EP,
Tear Box,Tear Box,
"Tear Garden, The","To Be An Angel Blind, The Crippled Soul Divide",
"Tear Garden, The",Crystal Mass,
Tears for Fear,Saturnine Martial & Lunatic,
Tears for Fears,Elemental,
Teays Vein,Resist Ance,
"Technical Jed, The",Spart 41,
Ted Hu,Wolves and Foxes ,
Ted Leo,Since U Been Gone / Maps,
Ted Leo and the Pharmacists,"Tell Balgeary, Balgury is Dead",
Ted Leo and the Pharmacists,Living With The Living,
Ted Leo and the Pharmacists,Shake The Sheets,
Ted Leo and the Pharmacists,Treble in Trouble,
Teddy Bears,Soft Machine,
Teddy Edwards,Mississippi Lad,
Teddy Kalivas,The Candidates,
Teddy Thompson,Teddy Thompson,
