Artist,Album
"UK Subs, The",Rebel Radio
Uberhund,Terrible Obstacles
U.F. Off,The Best of The Orb
Udo,Faceless World
UB40,Guns in the Ghetto
UB40,Labour of Love II
UB40,Tell Me Is It True
UB40,The Fathers of Reggae
UB40,Labour of Love III
Uberzone,Faith in the Future
Ubaka Hill,Shapeshifters
Uber Alles,Neverending Mucky Muck
Utah Saints,Two
Utah Saints,I Want You
Utah Saints,Utah Saints
United State of Electronica,United State of Electronica
Useless ID,No Vacation from the World
Us 3,Broadway & 52nd
Us 3,Cantaloop
Usenet,Mind / Body
"US Bombs, The",Explosion
"Used, The",Alone This Holiday
"Used, The","Used, The"
"Used, The",A Box Full of Sharp Objects
"Used, The",In Love and Death
"Urge, The",Brainless
Umbrellas,A Self Titled Release
"Umbrella Sequence, The",Sparkler Cliche
Umphrey's McGee,Safety In Numbers
Umphrey's McGee,Anchor Drops
Umphrey's McGee,Similar Skin
Uma,Fare Well
Ultra Vivid Scene,Special One
Ultramarine,De
Ultramarine,Happy Land
Ultramarine,United Kingdoms
Ulysses,10
Ultra Breakfast,Ice Cream Tricycle
"Ultras, The",Surf-Pop-Sludge
"Umbrella Sequence, The",Events
Union Carbide Productions,RACD049
"Unseen, The",Drapetomania
Unconquered,Lions
"Union Underground, The",An Education in Rebellion
Unit 3 UK,We are family
Universal Honey,Earth Moon Transit
"United States, The",Of Poetry
Univers zero,Live
Universal Order of Armageddon,kill rock stars 224
University of Errors,Jet Propelled Photographs
"Underground Kingdom, The",
Undiscovered Soul,Yellow
"Union Electric, The",Time is Gold
Unkle,Psyence Fiction
Unsung Heroes,Unleashed
underworld,born slippy
underworld,second toughest in the infants
underworld,dubnobasswithmyheadman
underwater,I Could Lose
Unkle,Never Never Land
Unda Sett,G's Perspective
Underworld,Pearl's Girl
Underworld,A Hundred Days Off
Underworld,Beaucoup Fish
Uncle Tupelo,Anodyne
"Unstable, The ",Game Face
Under The Noise,Future Automatic
Undertow,Alone In The Crowd
Unknown Mortal Orchestra,Unknown Mortal Orchestra
Ungdomskulen,Cry-Baby
Unbelievable Truth,Almost Here
Uncle Jud,Uncle Jud
Uncle Green,Book of Bad Thoughts
Uncanny Alliance,I'm Beautiful Dammit!
Uncle Billy's Smokehouse,
,
,
Ursula Rucker,Silver or Lead
Urge Overkill,Saturation
Ursula 1000,Kinda Kinky
Ursula 1000,Here Comes Tomorrow
Urania ,Initiation
Urban Blight,Playgrounds N Grass
Urban Dance Squad,Clashing Perspectives
Uranium 9 Volt,A Few Thingsd
Urban Farmers,Music For the Peasants
Urban Overkill,Exit the Dragon
Urge Overkill,Sister Havana
Ursula 1000,Ursadelic
Urban Dance Squad,Life N Perspectives of a Genuine Crossover
Urge OVerkill,The Break
Urban Dance Squad,Hollywood Live
Ugly Casanova,Sharpen Your Teeth
Ugly Duckling ,Taste the Secret
Ugly Americans,Stereophonic Spanish Fly
Ugli Kids,Ugli Kids
Ugly Kid Joe,Madman
U2,One
U2,Discoteque
