Artist,Album,Location
L.A. Blues Authority,L.A. Blues Authority,
"L.A. Guns, The",Cuts,
"L.A. Guns, The",American Hardcore,
L.A. Symphony,Big. Broke. L.A.,
L.A. Symphony,Disappear Here,
L.A. Tool and Die,The Last Thorn of Summer,
L.A. Ya Ya,Rockin' Rhythm Extravaganza: Live,
L.A.'s Hottest New Artists,Spring 2003,
L.A.L.,#1 USA,
L.L. Cool J,Motown,
L7,Bricks Are Heavy,
L7,Stuck Here Again,
L7,off The Wagon,
L7,Lose Your Dignity,
L7,Hungry For Stink,
L7,The Beauty Process,
L7,Slap-Happy,
la esperanza,la esperanza,
La Fin Du Monde,La Fin Du Monde,
La Ley,Fotofobia,
La Ley,vértigo,
La Ley,Mírate,
La Luz,Floating Features,
La Peste,Matador,
La Rocca,Ok Okay,
La Roux,La Roux,
La Sal de La Vida,La Sal de La Vida,
La Strada,New Home,
"La's, The",There She Goes,
Labb,Driving Your Shadow,
Labyrinth,Return to Heaven Denied,
Lach,The Calm Before,
Lach,Blang!,
"Ladies, The",They Mean Us,
Lady & Bird,Lady & Bird,
Lady sovereign,Size Don't Matter,
Lady Sovereign,Jigsaw,
Lady Sovereign,Public Warning,
Lady Sovereign,Public Warning,
Lady Sovereign,Love Me or Hate Me,
"Ladybug Transistor, The",Argyle Heir,
Ladyfinger,Heavy Hands,
Ladysmith Black Mambazo,Long Walk to Freedom,
Ladytron,Ghosts,
Ladytron,Light & Magic,
LaGuardia,Welcome to the Middle,
Lagwagon,Resolve,
Lagwagon,Double Plaidinum,
Lagwagon,Let's Talk About Feelings,
Laika,Good Looking Blues,
Laika,Silver Apples of the Moon,
Laika,Coming Down Glass,
Laika,wherever I am I am what is missing,
Laika,Sounds of the Satellite,
Laika & The Cosmonauts,Cosmopolis,
Lake,Let's Build a Roof,
Lake of Tears,Greater Art ,
Lake Street Dive,"Promises, Promises",
Lake Trout,Alone at Last,
Lake Trout,Another One Lost,
Lakota,Acquaintances,
Laktic Acid,The Unconquered,
Lakuna,Castle of Crime,
Lal,Untitled,
Lalo Schifrin,More Jazz meets the Symphony,
Lama Karta,Tcheud,
Lama Karta,"Tibetan Chants, Buddhist Meditation",
Lamb,Advance Music,
Lamb,Between Darkness and Wonder,
Lamb,What Sound (Deluxe),
Lamb of God,Ashes of the Wake,
Lambone,Wild Man,
Lamine Touré,Group Saloum,
LaMont,Love Goes On,
Lamya,Learning from Falling,
Lance Romañce,Titty Titty Yum Yum,
Land of Broken Hearts,Royal Hunt,
Land of Talk,Some are Lakes,
Land of Talk,Applause Cheer Boo Hiss,
Land of the Loops,Hurry Up and Wait,
Land of Thin Dimes,Land of Thin Dimes ,
Landon,One Woman Army,
Langhorne Slim,Langhorne Slim,
Lanterna ,Sands,
Lap Dog,7th Level of Agitation,
"Lapse, The",The Lapse,
Laptop,User's Guide,
Lara & Reyes,Guitarras Hermanas,
Lara & Reyes,Exótico,
Lara & Reyes,Riverwalk,
Lara Sin Tierra,Sin Tierra,
Laroux,Trouble in Paradise,
Larru LaLonde of Primus,Zappa Picks,
Larry Kucharz,Ambient Green Wishes,
Larry Kucharz,Bridge Mix 37,
Larry Kucharz,Elecctrochoral Dreams,
Larry Kucharz,Ambient Red Washes,
Larry Kucharz,Unit IA42,
Larry Kucharz,Unit 25: Dark Red,
Larry McCray,Ambition,
Larry Stewart,We Can Love,
Lars Vegas,Smoking,
Larurel Macdonald,Wingspan,
Larva,Waiting for Daybreak,
Larytta + Bauchamp,Friends of Friends,
"Lashes, The",Get It,
Lasse Marhaug,The Great Silence,
"Lassie Foundation, The",El Rey,
"Lassie Foundation, The",The El Dorado L.P.,
Last Charge of the Light Horse,Getaway Car,
Last Charge of the Light Horse,Curve,
Last Conservative,On to the Next One,
Last Gentlemen,the world behind your back,
Last Gospel,The Shines,
Last Great Liar,Doppelganger,STATION
Last Man Standing,Last Man Standing,
"Last of the International Playboys, The",Vegas Jazz and Latin Lounge,
"Last of the International Playboys, The",Vegas Jazz and Latin Lounge,
"Last Ports, The",Black and Strong (Homesick),
Last Second,Against All Odds,
Last Stand,Any Battle Won,
Last Tribe,Substance & Soul,
"Last, The",Gin & Innuendos,
Late Bloomers,Late Bloomers,
Late Night Access,Kid in a Candy Store,
Late of the Pier,Fantasy Blach Channel,
Latex Generation,360º,
Latex Generation,Boyrock,
Latimer,Live from sour city,
Latimer,World's Portable,
Latimer,LP Title,
Latimore,Catchin Up,
Latin Playboys,Dose,
Latin Playboys,Latin Playboys,
Latin Prince,Multiple Vibes,
"Latin Project, The",Nueva Musica,
"Latin Project, The",Sampler,
"Latin Project, The",Nueva Musica,
Latin Travels,A Six Degrees Collection,
Latino Diablo,El Mundo No Es De La Gente Humilide,
Latoiya Williams,The Ballad of Jimmy Bones,
Latour,Latour,
LaTOUR,Home on the Range,
Latvian Radio,Seven Layers of Self Defense,
Laudani,Influences,
Laughter's Fifth,Love as Laughter,
Laura Dawn,Believer,
Laura Gibson and Ethan Rose,Bridge Carols,
Laura Love,Octoroon,
Laura Love,Z Therapy,
Laura Marling,A Creature I Don't Know,
Laura Marling,I Speak Because I can,
Laura Marling,All My Rage,
Laura Marsh,Ready For Takeoff,
Laura McCormick,Too Wild To Tame,
Laura Tsaggaris,Everyman,
Laura Veirs,Carbon Glacier,
Laura Veirs,Year of Meteors,
Laura Veirs,Saltbreakers,
Laura Warshauer,Laura Warshauer,
Laurel Aitken,The Blue Beat Years,
Lauren Hoffman,The Chemist Said It Would Be Alright But I've Never Been The Same,
