Artist,Album
Pearl Jam,Spin the Black Circle
P.O.D.,School of Hard Knocks
P.O.S.,Audition
P.O.S.,We Don't Even Live Here
Pablo,Bitches and Machines
Pablo,Half the Time
Pablo Picker,Paper Ships
pacificUV,Chrysalis
Pacifika,Asuncion
Paco de Lucia,Zyryab
Paddy Casey,Amen (So Be It)
Page 9,Don't Panic EP
Page 9,Don't Panic EP
Page McConnell,Page McConnell
Pagiins,Bad Things Don't
"Pains Of Being Pure At Heart, The",Belong
"Pains of Being Pure at Heart, The",Higher Than The Stars
"Pains of Being Pure at Heart, The",Heart in Your Heartbreak
Paint It Black,CVA
Pako & Frederick,Atlantic Breaker
Pal Shazar,safe
Palace Lounge,Cafe D'Afrique
"Paladins, The",Ticket Home
"Pale, The",gravity gets things done
"Palindromes, The",muy muy pop yum yum
Paloalto,Fade Out/In
Paloalto,Heroes and villains
Paloalto,Paloalto
Palomar,Sense & AntiSense
Palomar,3.5 Demo EP
Palomar,Sense & AntiSense
Pam Tillis,Final Mixes
Pamela Martinez,Pamela Martinez
Pamela Means,Cobblestones
Pamela Means,Bone Spurs
Pamela Means,Cobblestones
Pan Sonic,Aaltopiiri
Pan Sonic,Aaltopiiri
Panacea,Twisted Designz
Panasonic,Kulma Mute/Blast First
Pancake Circus,Nacho Twain
Pancho Krystal,Pancho Krystal
Pancho Krystal,Pancho Krystal
"Panda Band, The",The Vital Chapter
Panda Riot,Northern Automatic Music
Panel of Experts,The American Dream
"Panics, The",Cruel Guards
Pansy Division,Absurd Pop Song Romance
Pansy Division,Wish I'd Taken Pictures
Pansy Division,More Lovin' From Our Oven
Pantera,Official Live 101 Proof Clean Sampler
Pantera,Unofficial Hits
Pantera,The Great Southern Trendkill
Pantera,Far Beyond Driven
Pantera,Reinventing the Steel
Pantera,Official Live: 101 Proof
Panther,Secret Lawns
Panthers,Things Are Strange
Paolo Nutini,These Streets
Paolo Rustichelli,Capri
Papa Vegas,Hello Vertigo
Paper Airplane,Middlemarch
"Paper Chase, The ",Now You Are One of Us
"Paper Kites, The",States
Paper Rival,Dialog Advance
Paper Route,Absence
Paper Tongues,Paper Tongues
Papercuts,Can't Go Back
Papercuts,Fading Parade
Papercuts,You Can Have What You Want
Papercuts,Can't Go Back
Papercuts,Fading Parade
Paralyzed,Witch
Parenthetical Girls,Safe as Houses
Parenthetical Girls,(((GRRRLS)))
Paris Hampton,Paris Hampton
Paris Texas,Like You Like an Arsonist 
paris_texas,"so, you this its hot in here?"
"Park a.d., The",Unpersons
Park Ave.,when jamie went to london...we broke up
Parks & Wilson,Painting on Silence
