Artist,Album
(Young) Pioneers,Free the (Young) Pioneers Now!
Y La Bamba,Lupon
Y?N-VEE,4Play 
Yacht,Mega
Yacht,I Believe in You. Your Magic is Real.
Yael,Electro Soul
Yael Meyer ,Heartbeat EP (limited edition) 
Yaggfu Front,Lookin' For A Contract
Yak,Where Its At
Yall So Stupid,Van Full of Pakistans
Yall So Stupid,CD-5
Yamo ,Time Pie 
Yan & Tom ,First Lights 
Yardsale ,Yardsale
Yatsura,Slain
Yatsura,iPolpo
Yatsura,We are Yatsura
Yaz,The Best of Yaz
YB,I Am What I Am
Yeah Yeah Yeahs,Fever to Tell
Yeah Yeah Yeahs,Show your Bones
Yeah Yeah Yeahs,It's Blitz!
Yeah Yeah Yeahs,Is Is
Yeah Yeah Yeahs,Date With the Night!
Year of the Rabbit,Year of the Rabbit
Year of the Rabbit,3 Song Sampler
Years,Years (Arts & Crafts)
Yeht Mae,Yeht Mae
Yelle ,Completement Fou
Yello,essential
Yellow Delicious,Get Some!
Yellow Note,Yellow Note vs. The Daleks
Yellowman,Live in San Francisco
Yerba Buena,Island Life
Yes Please,"For Now, For then, For Them "
Yesterday & Today,Yesterday & Today Live
Yesterday & Today (Y&T),Hurricane 
Yesterdays New Quintet,Angles Without Edges
Yind,The Yind CD
YMC Essentials,YRCDLP3
Yngwie Malmsteen's Rising Force,Attack!!
Yo La Tengo,Today Is the Day
Yo La Tengo,And then nothing turned itself inside-out
Yo La Tengo,Electr-O-Pura
Yo La Tengo,Painful
Yo La Tengo,Prisoners of Love
Yo La Tengo,Selections From:
Yo La Tengo,Strange But True
Yo La Tengo,Autum Sweater
Yo La Tengo,Camp
Yo La Tengo,Sampler 1993-1997
Yo La Tengo,I Can Hear The Heart Beating As One
Yo La Tengo,Little Honda
Yo Yo,Westside Story
Yoav,Selections from Charmed and Strange
Yogurt Smoothness,Live Forever
Yohimbe Brothers,Front End Lifter
Yoke Shire,A Foreshadowing
Yoko Ono,Blueprint for a Sunrise
Yoko Ono,Rising Mixes
Yoko Ono,Walking on Thin Ice Compilation
Yonder Mountain String Band,Mountain Tracks: Volume 4
Yonder Mountain String Band,Town by Town
Yonder Mountain Swing Band,self-titled
Yoome,The Boredom of Me 
Yosefa ,The Desert Speaks
Yothu Yindi,Freedom
Yothu Yindi,Tribal Voice
You,Journey to Youphoria
You Am I,Sound as Ever
You am I,Hourly Daily
You am I,Berlin Chair
You am I,Berlin Chair
You Am I's,#4 Record
You Me & Apollo,Sweet Honey
You Me & Iowa,The Adventures Of
You Me at Six,Hold Me Down
You Shriek,Grim
Young Black Teenagers,Young Black Teenagers
Young Bleed,Give and Take
Young Boy,Other Summers
Young Disciples,Road to Freedom
Young Fresh Fellows,It's Low Beat Time
"Young Gods, The",Retrospective
"Young Gods, The",Only Heaven
Young Have Not,The Official Major Leagues
Young Heart Attack,Mouthful of Love
Young Knives,Superabundance
"Young Knives, The",Voices of Animals and Men
Young Man,Ideas of Distance
Young Nuk,Ain't Nothing But a Thing
Young People,All at Once
Young Turk,N.E. 2nd Ave
Your Code Name Is: Milo,All Roads to Fault 
Your Team Ring,Homelife
Youssou n' Dour,Eyes Open
Youssou N'Dour,The Guide (Wommat)
Youth Gone Mad,Sex Juice
Youth Group,Skeleton Jar
Youth Group,Casino Twilight Dogs
Youth Lagoon,The Year of Hibernation 
Youth of Today,Revelation:17
Yues Klein Blue,Draw Attention to Themselves
Yukon ,Blonde 
Yulara,Cosmic Tree
Yulara,"""all is one"""
Yum Yum,dani loves patti
Yuma House,self-titled
Yuno,Moodie
Yusuf,An Other Cup
Yoav,Charmed and Strange
"Young Dubliners, The",Rocky Road
Yoyo a Go Go,Yoyo a Go Go
Yonder Mountain String Band & Benny Galloway,Old Hands
Your Midway Host,Our Cities Could Grow
Young Have Not,Young Have Not
Young People,Young People
