Album,Artist,Location,spotify_album_id,spotify_artist_id,released,art,embed,genres,tracks
A New Morning,"(International) Noise Conspiracy, The",
"Bigger Cages, Longer Chains","(International) Noise Conspiracy, The",
The Cross of my Calling,"(International) Noise Conspiracy, The",
Lovers' Requium ,I Am Ghost ,
How to Tell the Phonies From the Phakes ,I Am Next ,
I Am the Avalanche ,I Am the Avalanche ,
Hallowed Ground ,I See Hawks in L.A. ,
California Country ,I See Hawks in L.A. ,
Universal Poetree,I want to Give it to You ,
Chronicles,"I-10, The",
Fightin in the Club,I-20,
Monkey Swang,I-55,
adore ,i: cube,
Let Me Introduce My Friends,I'm From Barcelona,
Who Killed Harry Houdini?,I'm From Barcelona,
Secret South,I6 Horsepower,
Stuff ,Ian Brennan ,
Paperboy,Ian Brennan ,
Teacher's Pet ,Ian Brennan ,
Cheapskate ,Ian Brennan ,
Golden Greats ,Ian Brown ,
FYACE,Ian Carr and Karen Tweed ,
,Ian Faith ,
Step by Step ,Ian Franklin,
King Blank ,"Ian Lowery Group, The ",
Slideling,Ian Mcculloch,
Honeydrip,Ian Mcculloch,
Honeydrip,Ian Mcculloch,
Tomorrow's Taken,Ian McGlynn,
Since Then. ,Ian Pooler ,
Sour Apple Tree,Iberis,
The Sunset Series Volume Two ,Ibiza Sunset ,
Mi Sueño,Ibrahim Ferrer,
Penance Soiree,"Icarus Line, The ",
? ,"Icarus Line, The ",
Bad Blood,Ice ,
F*** Dying ,Ice Cube,
You Can Do It,Ice Cube,
The Peace Disc,Ice Cube,
Until We Rich,Ice Cube,
In the Late Night Hour,Ice Cube,
Pushin' Weight,Ice Cube,
$100 Bill Y'all,Ice Cube,
The Race,Ice Station,
VI: Return of the Real,Ice T,
Original Gangster,Ice T,
Lifestyles of the Rich and Infamous,Ice T,
Eruption,Iceland Airwaves,
Flu,Icewagon,
Arrivals & Departures ,"Icicles, The",
Chotto Matte a Moment!,Icu,
What You Get and How You Get It,"Icy Shores, The",
Heart Like a River,Ida ,
The Forbidden ,Idaho,
Alas,Idaho,
Various,Identity Five,
Room From Another Music,Idiom Creak,
Let's Go Shopping,Idiot,
Wolves,Idiot Pilot,
Super Bad Girl,Iffy,
Préliminaires,Iggy Pop,
Naughty Little Doggie,Iggy Pop,
Nude and Rude: The Best of Iggy Pop,Iggy Pop,
Avenue 8,Iggy Pop,
Heart Is Saved,Iggy Pop,
Skull Ring EP,Iggy Pop,
American Caesar,Iggy Pop,
Beat Em Up,Iggy Pop,
Skull Ring,Iggy Pop,
Positively Shocking,Ignorance,
The Confident Rat,Ignorance,
Late At Night,"Iguanas, The",
Fortune Teller,"Iguanas, The",
Self Titled,"Iguanas, The",
Super Ball,"Iguanas, The",
Chat and Business,Ikara Colt,
Touch The Sun,Ikarus,
Parallel Universe,Ike,
Outside and Curious,Ilene Weiss,
Weiss Christmas,Ilene Weiss,
Not Sick,Ill,
God Bless Your Life,Ill Biskits,
WACMusic,Ill Lit,
Undeniable,Ill Phil Carnage,
Dreams In Stereo,Illdotlogic,
Head or Gut,Illegal,
Write to Death II,illogic,
Liquor and Poker,"Illuminati, The",
Hildegard von Bigen: The Fire of The Spirit,Illumination,
Axiom,Illuminations,
Thirtycabminute,Illyah Kuryahkin,
Poise Is the Greater Architect,Ilya,
Creeps Me Out,Ima Robot,
Public Access,Ima Robot,
Self titled,Ima Robot,
Alive EP,Ima Robot,
Imaad Wasif,Imaad Wasif,
Painting Over The Dirt,Imaginary Johnny,
Only Chimneys,Imaginary Johnny,
Good Ideas,Imagination Movers,
Calling All Movers,Imagination Movers,
Self titled,Imagine Dragons,
Chupacabra,Imani Coppola,
Legend of a Cowgirl,Imani Coppola,
Stand down/thanks but no thanks,Immaculate Fools,
Falling apart together,Immaculate Fools,
High on Jackson Hill,Immaculate Machine,
Charlestown ,"Immigrants, The",
Revolutionary Vol. 2,Immortal Technique ,
Untitled ,"Impatients, The",
Seasick,Imperial Teen,
On,Imperial Teen,
laughter fills our hollow dome,"Impossible Shapes, The",
A Windham Hill Sampler ,"Impressionists, The",
Self-titled ,Impulse,
The Sound Inside,In Flight Radio,
Formica Table for Two,In Ink Please ,
Self-titles,In love with the Dudley Corporation,
Four Seasons Of Grey,In Ruins,
TMC ,In the Groove ,
90's teen bands vs 80's teen movies ,In Their Eyes ,
BIg Beat Across America,Increase the beats,
Sound of Gilles Peterson,INCredible,
Electronic Pocket Radio Sampler,"Incredible Moses Leory, The ",
Growing up clean in America ,"Incredible Moses Leory, The ",
Electronic Pocket Radio ,"Incredible Moses Leory, The ",
become The Soft Lights,"Incredible Moses Leroy, the",
The Hannibal Sample ,"Incredible String Band, The ",
Must Hatch,"Incubators, The ",
Light Grenades,Incubus,
Pardon Me ,Incubus ,
Redifine (3:20),Incubus ,
Make Yourself ,Incubus ,
Fubgus Amongus,Incubus ,
Stellar,Incubus ,
Warning ,Incubus ,
New Skin ,Incubus ,
Morning View ,Incubus ,
A Certain Shade of Green (3:12),Incubus ,
Fire and Bone,Incus,
Burning Thread,Incus,
Why the desert,Inda Eaton,
Things you dont know,"Indefinite Article, The",
The Grand Applause,"Indefinite Article, The",
Breaking Night,India  ,
Acoustic Soul,India Arie,
Indianism,"Indians, The",
Broken Lands,Indigenous,
Shed Your Skin,Indigo Girls,
Touch Me Fall,Indigo Girls,
Galileo,Indigo Girls,
Go,Indigo Girls,
Peace Tonight,Indigo Girls,
