Artist,Album
G. Love & Speical Sauce,Philadelphonic
G. Love & Speical Sauce,"Yeah, it's that easy"
G. Love & Speical Sauce,Stepping Stones
G. Love & Speical Sauce,Rodeo Clowns
G. Love & Speical Sauce,Kess and Tell
G. Love & Speical Sauce,I-76
G. Love & Speical Sauce,Electric Mile
G. Love & Speical Sauce,Blues Music
G. Love E,Chillin' on the G Spot
G. W. McLennan,Watershed
G. Wiz,Y. U. Doggin Me
"Gabe Dikon Band, The",The Gabe Dixon Band
Gabin,Mr. Freedom
Gabriel & Dresden,Bloom
Gabriel Gordon,Frequency
Gabriel Wolfchild,A Cry to the Moon
Gabriela Anders ,Fantasía
GaBso,Made Me Wanna Change My Name
"Gadjits, The",At Ease
Gaelic Storm,Gaelic Storm
Gainer,You Say It Like It's a Bad Thing...
Galactic,Crazy Horse Mongoose
Galactic,We Love 'Em Tonight (Live at Tipitino's)
"Galactic Heroes, The",Every Sidewalk
Gallows,Grey Britain
Gambino Family,My Childhood Years
Gameface,Every Last Time
Gang Gang Dance,Saint Dymphna
Gang of Four,Return the gift
Gang of Four,Mall
Gang of Four,Cadillac
Gangstagrass,Broken Hearts and Stolen Money
Gangstagrass,American Music
Garageland,Last Exit to Garageland
Garbage,Vow (Single)
Garbage,Supervixen (Single
Garbage,Stupid Girl (Single)
Garbage,Queer (Single)
Garbage,Only Happy when it Rains (Single)
Garbage,Garbage
Garbage,Bleed like Me
Garland Jefferys,"Hail, Hail Rock 'N' Roll"
Garland Jefferys,Don't call me Buckwheat
Garnet Rogers,Sparrow's Wing
Garrett J. Brown,Priorities
Garrett Pierce,City of Sand
Garrett Sawyer,Anthem
Garrison,The Silhouette
Garrison,Be a Criminal 
Garrison,A Mile in Cold Water
Garrison Starr,Eighteen Over Me
Garrison Starr,Songs From Take=Off To Landing
Garrison Starr,The Sound of You and Me
Garrison Starr,Stupid Girl 
Garth Adam,Travelling
Gary and Michael Petrin,Where Are the Kings
Gary Bartz,The Blues Chronicles: Tales of Life 
Gary Bartz,The Red and Orange Poems
Gary Farr Quintet ,Deep as the Night
Gary Louris,Vagabonds
Gary Moore,Still Got the Blues
Gary Numan,Exile
Gary Numan ,Pure
Gary Shane and the Free Radicals,Love is the Liquor of Life
Gary Stewart,Battleground
Gary Stewart,Out of Hand
Gary Stewart,Greay's Greatest
Gary Wilson,Mary Had Brown
Gary Wilson,Forgotten Lovers
Gary young,Hospital
"Gaskets, The",Big Fun
"Gaslight Anthem, The",Señor and the Queen
Gass Huffer,"Inhuman Ordeal of Special Agent, The"
Gatecrasher,Global sound System
Gatobarbieri,Impulse
Gatsby ,Floors and Fires
Gatsbys American Dream,Volcano
Gatsbys American Dream,Ribbons and Sugar
Gavin Bryars,The Sinking of the Titanic
Gavin Bryars,Raising the Titanic 
Gavin Bryars,Farewell to Philosophy
Gavin DeGraw,Chariot
Gavin Friday,Adam 'N' Eve
Gavin Friday  ,Shag Tobacco
Gavin Friday and the Man Seezer,Each man kills the thing he loves
Gay Dad,Leisure
Gay Tastee,[Gayest Hits]
"Gay, Black, and Married",My LIfe with Thrill Kill Kult
Gaye Adegbalola,Bitter Sweet Blues
Gaza Strippers,1000 Watt Confessions
Gaze,Shake the Pounce
Gazebos,Die Alone
Gearhead,Greaseball Melodrama
Geezer Lake,King Frost Parade
Geggy Tah,Into the Oh 
Geggy Tah,Into the Oh
Gem ,Hexed
Gem ,Hexed
Gema Y Pável,Trampas del Tiempo
Gema y Pavel ,Trampas Del Tiempo 
Gemma Hayes,The Hollow of Morning
Gemma Hayes,The Hollow of Morning
General Patton,Vs. the X-Ecutioners
General Patton vs. The E-Ecutioners,General Patton vs. The E-Ecutioners
General Public,I'll Take You There
General Public,I'll Take you There
Generation X,Perfect Hits 1975-1981
Generation X,Perfect Hits 1975 - 1981
Generationals,Con Law
Generationals,Con Law
Generations I,A Punk Look At Human Rights 
Generations I,A Punk look at Human Rights
"Generators, The",State of the Nation
"Generators, The",Tyranny
"Generators, The",State of the Nation 
Genesis,The Carpet Crawlers
Geneva,Further
Geneva,Into the Blue
Genghis Angus,12 Days for Christmas
Gentle Waves,The Green Fields of Foreverland
Gentleman Auction House,Alphabet Graveyard
Gentleman Auction House,Christmas in Love
Gentleman Reg,Jet Black
"Gentlemen, The",Ladies and Gentlemen...The Gentlemen
Geoff Bartley,One Kind Word
Geoff the B-Boy,From Local to Main Stream
"Geometrid, The",Looper
"George ""Harmonica"" Smith",Now You Can Talk About Me
George Clinton,The P-Funk Allstars
George Glass,George Glass
George Jinda and World News,Reliable Sources
George Jinda and World News,George Jinda and World News
George Kovac,Leashed Chaos
George Martin,Songs From In My Life
George Michael,Monkey
George Milton,Scream & Shout 
George Sarah,Opus Eleven
George Winston,Forest
George Winton,Linus & Lucy The Music of Vince Guaraldi
"Georges Leningrad, Les",Sangue Puro
Georgi Smith ,Lotus Eater 
Georgie James,Places
Gerald Alston,Open Invitation 
Gerald Edward,You Write the Words
"Geraldine Fibbers, The",Butch 
"Geraldine Fibbers, The",The Geraldine Fibbers
"Geraldine Fibbers, The",Live from the Bottom of the Hill 
"Geraldine Fibbers, The",Lost Somewhere Between the Eath and My Home
Geri Allen ,The Gathering
Germans ,Cape Fear
Gerry O'Connor,Myriad
Gershwin Plays Gershwin,The Piano Rolls
Gertie Fox,An Imaginary Meeting in the Woods
"Get Right Band, The",Bass Treble Angel Devil 
Get Set Go,"Sunshine, Joy, & Happiness"
Get Set Go,Selling Out & Going Home
Get Set Go,So You've Ruined Your Life 
"Get Up Kids, The",Eudora 
"Get Up Kids, The",Four Minute Mile
"Get Up Kids, The",Guilt Show
"Get Up Kids, The",On A Wire
"Get-Rites, The",Pedal Steel Heaven
"Getaway People, The",Tracks from the Turnpike...And Beyond
Geto Boys,The Resurrection
Gettysburg,Reflections on an American Life
GFE,Bigger Than It Really Is
Ghost Brothers or Darkland county,Ghost Brothers of Darkland County
Ghost Cauldron ,Invent Modest Fires
Ghost Hook,Songs we Didn't Write
"Ghost is Dancing, The",Battles On
"Ghost of a Saber Tooth tiger, The",Acoustic Sessions
"Ghost of Tony Gold, The",For Lovers Only
Ghost Town,Shiny toy guns
Ghost Writers,She Got It Goin' On
"Ghost, The",This pen is a weapon
Ghostland Observatory,Papparazzi Lighting
Ghostland Observatory,Robotique Majestique
Ghosts of Jupiter,Ghosts of Jupiter
Ghoti Hook,Banana Man
Gifrants,Twoubadou Sek 
Gifrants,Serenade
Gift of Gab,The Next Logical Progression 
Gigi Fouquet,You're the Same As Me
Gigolo Aunts,Learn to Play Guitar
