Artist,Album
H P Zinker,Mountains of Madness
H. P. Zinker,The Sunshine CD
H. P. Zinker,Staying Loose
H2O,Nothing to Prove
H2O,Go
H2O,333
Haale,No Ceiling
Habana,Secreta
Hagfish,Hagfish
Hagfish,Status
Hagfish,Rocks Your Lame Ass
Haikaa,Work of Art
Haingo,Groove it... From MD
"Hairbrain Scheme, The",You're A Nation
"Hairs, The",The Magic's Gone
Hal,Hal
Hal Schaefer,Solo Duo Trio
Haley Bonar,Lure the Fox
Half the World,Bigger Than You
Half-Handed Cloud,Thy is a Word and Feet Need Lamps
"Halloween, Alaska","Halloween, Alaska"
"Halloween, Alaska",Radio Special Edition
"Halo Bit, The",Gravity (Is the Force that Always Drags You Down)
Halou,Wiser
Hamell On Trial,Songs for Parents Who Enjoy Drugs
Hamish Moore Dick Lee,The Bees Knees
Hammer No More The Fingers,
Hammer No More The Fingers,Looking for Bruce
"Hammer The Anvil The Stirrup, The",The Noises 10
Hands and Knees,Hands and Knees
Handsome Boy,Modeling School
Handsome Boy Modeling School,White People
"Handsome Devil, The",A City Dressed in Dynamite
Handsome Deville,Greatest Hits
"Handsome Family, The",Honey Moon
"Handsome Family, The",In the Air
"Handsome Family, The",Milk and Scissors
"Handsome Family, The",Singing Bones
"Handsome Family, The",Through the Trees
Handsome Furs,Sound Kapital
Handsome Furs Face Control,Handsome Furs Face Control
"Hang Ups, The",Hang Ups
"Hang Ups, The",Second Story
"Hang Ups, The",So We Go
"hangovers, the",slow dirty tears
hank dogs,half smile
Hank III,Louisiana Stripes
Hank III,Damn Right Rebel Proud
Hank III,Risin' Outlaw
Hank Williams,The Complete Hank Williams Sampler
Hank Williams ,The 'F' Word 
Hank Williams III,Lovesick Broke & Driftin'
Hank Williams Jr.,Almeria Club
Hannah Jane Kile,Little Blue Heron
Hanne Hukkelberg,Blood from a Stone
Hanne Hukkelberg,Do Not As I Do
Hansel,Red-Demo
Hanson,Hanson
Hanzel und Gretel,Transmissions from Uranus
"Happies, The",Meet The Happies
"Happiness Factor, The",Self-Improvement?
Happy Anarchy,Reset
Har Mar Superstar,You can feel me
"Hard Way, The",Only If.. And Even Then
Hard-Fi,Stars of CCTV
Hard-Fi,Once Upon A Time In The West
Hardknox,Attitude
Harmonic 313,When Machines Exceed Human Intelligence
"Harper Brothers, The",You Can Hide Inside The Music
Harriet Tubman,I am a Man
Harrod and Funck,Self titled
Harry Bryan,Long Road to One
Harsh Kreiger,Self titled
Haruomi Hosono,N.D.E
"Harvey ""the snake"" Mandel",Lick This
Harvey Danger,King James Version
Harvey Keene,Best That Money can buy
Harvey Keene,Casual Heroes
Harvey Mason,Ratamacue
Harvey Reid & Joyce Anderson,The Great Sad River
Hasstyle,BX-TRA
Hate Dept.,The House that Hate Built
Haunted Garage,976-Kill
Hauschka,Ferndorf
Havalina,"Space, Love, and Bull-fighting"
Have Gun Will Travel,Mergers & Acquisitions
"Have Gun, Will Travel",Casting Shadows Tall As Giants
"Have Gun, Will Travel",Postcards from the Friendly City
"Hawk and A Hacksaw, A",The Way the Wind Blows
Hawke,Heatstroke
Hawthorne Heights,If Only You Were Lonely
Hawthorne Heights,The Silence In Black and White
Hayden,Bad as They Seem
Hayden,The Closer I Get
Hayden,Elk-Lake Serenade
Hayden,Skyscraper National ParkH
Hayden ,Everything I Long For
Hayden Calvin,City
Haywood,Model for a Monument
Haze and Shuffle,Whatch 'Ya Do with Me
Haze and Shuffle ,Get Your Haze 
Hazel Blue,The Sagebrush Letters
He Met Her,Crime Novela
"Head and the Heart, The",Self titled
"Head and the Heart, The ",Let's Be Still 
Head Automatica,Graduation Day
Head Like  Kite,Random Portraits of the Home Movie
Head of Femur ,Great Plains 
Headbangers ,Ball Volume 2
Headcase,Mushiness
"Headhunters, The",First Things First
Headlights,The enemies EP
Headlights,"Some Racing, Some Stopping"
Headphones,Self Titled
Headstone,Epitaph
Headstrong,Headstrong
"Heart Attacks, The",Hellbound & Heartless
Heartless Bastards,Stairs and Elevators
Heat From a Deadstar,Seven Rays of the Sun
Heath McNease,The Gun Show
Heather Cox,Heather Cox
Heather McCready,Give It A Day
Heather McLeod,Funny Thing
Heather Nova,Live From The Milky Way
Heather Nova,Siren
Heather Powell,Believe It to Life
Heatmiser,Cop and Speeder
Heatmiser,Dead Air
Heatmiser,Yellow No. 5
"Heatseekers, The ",In Praise Of
"Heavenly Music Assosiation , thee",shaping the invisible 
"Heavenly States, The","Heavenly States, The"
"Heavy Guilt, The","Heavy Guilt, The"
Heavy Seals,Jazz Bust
Heavy Tin,Makeover
Heavy Trash,Heavy Trash
"Heavy, The",The House That Dirt Built
"Heavy, The",Great Vengeance and Furious Free
Hector on Stilts,Same Height Relatin
"Hedrons, The",One More Won't Kill Us
Hedwig and the Angry Inch,The Long Grift
Hefner,Breaking God's Heart
Hefner,Boxing Hefner
Hefner,Dead Media
Hefner,The Fidelity Wars
Hefner,We Love The City
Heidi Berry,Distant Thunder
Heidi Berry,Miracle
Heidi Saperstein,The Devil I Once Knew
Heikki,2
Heinous Bienfang,Makin' It Nice for the People
Heiruspecs ,A Tiger Dancing 
Helen Merrill,Clear Out of this World
Helicopter Helicopter,Squids and other Fishes
"Helio Sequence, The",Com Plex
"Helio Sequence, The",Keep Your Eyes Ahead
"Helio Sequence, The",Love and Distance
"Helio Sequence, The",Negotiations
"Helio Sequence, The",Young Effectuals
Helium,The Dirt of Luck
Helium,The Magic City
Helium,No Guitars
Helium,Superball
Hell on Wheels,Alpha Phozz & the beta hustle
Hell's House Band,Dozen Lies
Hella,Acoustics
Hella,Hold Your Horse
"Hellacopters, The",Rock & Roll is Dead
"Hellacopters, The",Payin' the Dues
"Hellacopters, The",By the Grace of God
"Hellacopters, The",Respect the Rock USA
Hello Blue,What it takes to wake up
Hello Blue,First Chance to Make a Last Impression
Hello Nurse,Chorusaurus
Hello Operator,The Breaks
Helloween,Keeper of the Seven Keys Part II
Helloween,High Live
Helloween,I Want Out
Helloween,Better Than Raw
Helmet,Size Matters
helms,the swimmer
"Help Desk, The",peel the sun.
Helvetia,the clever north wind
hem,Eveningland
Hemmingbirds,The Vines of Age
"Henry Clay People, The",Somewhere on the Golden Coast
Henry Elsesser,Henry
Henry Lee Summer,Way Past Midnight
Henry Padovani,A Croire Que C'etait Pour La Vie
Henry Rollins,Rollins Speaks
Henry Threadgill,Try Some Ammonia/Better Wrapped...
Henry Threadgill,Too Much Sugar for a Dime
Henry Threadgill,Carry the Day
Henry Threadgill,Makin' A Move
Henry Wagons,Expecting Company?
Hepcat,Right on Time
Her Space Holiday,Silent Films
Her Space Holiday,The Young Machines
Her Space Holiday,Sleepy Tigers
Her Space Holiday,The Past Represents the Future
Her Vanishes Grace,Her Vanishes Grace
Herbie Hancock,Future 2 Future
Herbie Hancock Wayne Shorter,1+1
Hercules and Love Affair,Hercules and Love Affair
Here Come the Mummies,Everlasting Party
Herman Dune,Next Year in Zion
Herman Dune,I Wish That I Could See You Soon
Herman Jolly,Thanasphere
Herman Jolly,Mad Cowboy Disease
Heroes of the Dancefloor,Torch
Heroic Doses,Heroic Doses
"Heroic Enthusiasts, The",Memory Wheel
"Heroic Enthusiasts, The",The Second Three
Heroine,From First to Last
Herra Terra,Hyperborean
Herschelwood Hardheadz,Radio Single
Hewitt,Piecemeal
Hey Mercedes,Loses Control
"Hey Now, Morris Fader",Good Times Ne'er Forget 
