Artist,Album
M People,Bizarre Fruit
M People,Elegant Slumming
M. Ward,Hold Time
M. Ward,End of Amnesia
M. Ward,A Wasteland Companion
M.C. Serch,Here It Comes
M.C. Swat,Ugg Loid
M.F. McAdam,Boy Wonder
M.I.A.,Kala
M.I.A.,Matangi
"M's, The",Future Women
M2M,The Big Room
M83,"DeadCities, RedSeas&LostGhosts"
M83,Saturdays=Youth
Ma'ayan Castel,Walk on Water
Mac Mall,Get Right
Mac McAnally,Live and Learn
Mac McAnally,Word Of Mouth
"Mac Seven, The",Knife to a Gunfight
"Mac Seven, The",Knife to a Gunfight
"Maccabees, The",Colour It In
"Maccabees, The",Colour It In
Maceo Parker,Galactic Grooves
Macha,Macha
"Maches, The",Decomposer
Machine 475,Love Is All Around
Machine Drum,Urban Biology
Machine Go Boom,music for parents
Machine Head,The BLacKEninG and BEyonD
Machine Head,The Blackening
Machine Head,Through the Ashes of Empires
Machine Head,Old
Machine Head,Burn My Eyes
Machine Head,The More Things Change...
Machine Head,Bedazzler
Machinedrum,Bidnezz
Machinery Hall,Inness
Machinery Hall,Machinery Hall
Mack 10,The Paper Route
Mack 10,Tight To Def featuring T-Boz
Mack 10,From Tha Streetz
Mack 10,Let The Games Begin
Mack and Jamie,Extreme Channel Surfing
Mack Preston,Tortured Mind
Macklemore,The Heist
"Mackrosoft, The",Life Imitates Clouds
"Mackrosoft, The",S.E.M.E.
Macy Fray, On How Life Is
Mad Caddie,Rock the Plank
Mad Caddies,Just One More 
Mad Caddies,Just One More 
Mad Caddies,Duck and Cover
"Mad Capsule Markets, The",RL (Pulse) EP
"Mad Capsule Markets, The",Osc-Dis (Oscillator In Distortion)
Mad Cobra,Sexperience
Mad Cobra,Flex
Mad Cobra,"Hard to wet, easy to dry"
Mad Daddys,Get Yer Ta Tas Out!
Mad Gregs,Big Nun
Mad Kap,Proof is in the Pudding
Mad Lion,Bring It If You Want It/Platinumize
mad orchid,crush
Mad Professor,Dubtronic
Mad Season,Above
Madagascar,"Goodbye East, Goodbye West"
Madala,Kon' Ko Man
Madasnasa and The Jakats Of Jive,White Guys
Madball,Demonstrating My Style
Madball,Set It Off
Madball,Demonstrating My Style
Madcap,Stand Your Ground
Madcap,Stand Your Ground
Madd Maxx,Omillian's Dream
Madd Nation,Breakin Me 
"Maddening Crowd, The",Urgent Times
Made in Ireland,
Made Men,Is It You?
Made On Earth,Made On Earth
Made Out of Babies,Coward
Madelein Peyroux,Dreamland
Madelein Peyroux,Dreamland
Madfly,White Hot In The Black
Madina Lake,"From them, through us, to you"
Madina Lake,The Disappearance of Adalia
Madison,Dress Them One By One
Madkap,Da Whole Kit and Kaboodle
Madlib The Beat Konducta,Vol. 1-2
Madlib the Beat Konducta Versus Dangerdoom,Dangerdoom - Space Ho's (Madlib OG Version)
Madlife,Madlife
Madonna,Nothing Really Matters
Madonna,Ray of Light 
Madras,slow the tide
Madras,Dimestore Raves
Madredeus,Electronico
Mae,The Everglow
Mae,Destination B-Sides
Mae  ,destinationn: beautiful
Mae Moore,bohemia
Mae Robertson,Stone By Stone
"Mae Shi, The",HLLLYH
"Mae Shi, The",HLLLYH
Maestro Alex Gregory,Paganini's Last Stand
Maestro Alex Gregory,Paganini's Last Stand
Magdalen Hsu-Liu,Fire
"Magdalyns, The",Word-Spoken Get-Up Man
"Maggi, Pierce and E.J.","Maggi, Pierce and E.J."
Maggie's Dream, Love & Tears
Maggie's Dream,Maggie's Dream
Maggie's Farm,Glory Road
Magic 12,Magic 12
Magic 12,High
Magic Heart Genies,Heartifact
"Magic Numbers, The",Those the Broke
Magic People,Keen Whips I'd Wear As Rubies
Magic Slim & The Teardrops,Snake Bite
Magic Slip & The Teardrops,Scufflin'
"Magical Attraction of Booty, The",Perfect Rocket
Magik Markers,Boss
Magna Pop,rubbing doesn't help
Magna Pop,Fire all your guns at once
Magnapop,Popboxing
Magnela Lane,Dancing With Daggers
Magnet,Which Way
Magnet,Don't Be A Penguin
Magnet ,The Simple Life
Magneta Lane,The Constant Lover
Magnetic Fields,Realism
"Magnetic Fields, The",Distortion
magnetophone ,I guess sometimes i need to be reminded of how much you love me
"Magnificents, The",Year of Explorers
Magnificient 7,Seven Years of Lunch Records 1995-2000
"Magnifico, El",Insanimo Blastimo
Magonia,Dust
Magoo,The Soateramic Sounds of Magoo
Maher Shalal Hash Baz,Faux Départ
Maia Macdonald,The Atlantic
Maia Macdonald,The Atlantic
Maianne Faithfull,Blazing Away
Maimo Park,Apply Some Pressure
"Main Drag, The",Yours As Fast As Mine
Mainly Lanes,Oomami
Maison Nova,The Balancing Act (College Tour Preview)
Majek Fashek and the Prisoners of Conscience,Spirit of Love
Majek Fashek And The Prisoners Of Conscience,Spirit Of Love
"Majestic Twelve, The",Schizophrenology
"Majestic Twelve, The",Schizophrenology
Major Lazer,Free the Universe
Major Lazer,Major Lazer
Major Lazer,Major Lazer
Major Lazer,Guns Don't Kill People...Lazers Do
Major Major,3 new songs
Major Major,Silver In Our Skies
Major Major ,the glare and haze
Majorie Fair,Self Help Serenade
Majorie Fair,Self Help Serenade
Majority Of One,2000 Years Of Indecision
Mak-V,Get Em Up
Makar,99 Cent Dreams
Makar,99c Dreams
Make Believe,Of Course
Make Jane Cry,You Worry Me
Make Lisa Rich,Outsmarted
Make Up,Save Yourself
Make Up,Save Yourself
Make Up,I Want Some
Make-Up,In Mass Mind
Makeshift,Female Hula Hoop Champion
Makeshift,Female Hula Hoop Champion
Makoto,Spirit of the Islands
Maktub,Khronos
Maktub,Khronos
Maktub,Subtle Ways
Mal Blum,Tempest in a TEacup
Mala Jube,Trompe~L'œil
Malachai,Return To The Ugly SIde
Malachi Constant,Zenith
Malachi Thompson,"Jaz Life, The"
Malachi Thompson,Lift Every Voice
Malachi Thompson,New Standards
Malaika,Sugar Time
Malcolm Marshall,Malcolm Marshal
Malcolm McLaren Presents The World Famous Supreme Team Show,Round the Outside! Round the Outside!
Malcolm X,Words from the Frontlines
Malcolm X,Words from the Frontlines
Malcom Palmer,Between the Womb and Tomb
Male Bonding,Endless Now
Male Bonding,Nothing Hurts
Maleem Mahmoud Ghania with Pharoah Sanders,The Trance of Seven Colors
Malfunktion,Return to Olympus
Malhavoc,Premeditated Murder
Malhavoc,The Release
Malicious Vinyl,lit
"Malinks, The","I'm Happy, Hope You're Happy Too"
Mama's Cookin',Mama's Cookin'
Mamou,Mamou
"Man Downstairs, The",The Man Downstairs
Man From Fiery Hill,Magazine Theft Yeah
Man is Doomed,Escape to Europa
Man is Doomed,Escape to Europa
Man Man ,Six Demon Bag
Man Man Films,The Black Power
Man or Astro-Man?,made from Tecanetium
Man Ray,Casual Thinking
Man Will Surrender,Castrado
Man Will Surrender,Man Will Surrender
Man Will Surrender,instrument
Maná,Sueños Líquidos
Maná,Sueños Líquidos
Mana ,Cuando Los Angeles Lloran
manasseh meets the equalizer,Shining
ManBreak,Come and See
Manchester Orchestra,Let My Pride Be what's left behind
Mancino,Dear Interational
Mancino,Manners Matter
Manda and the Marbles,Angels with Dirty Faces
Mandalay,Souless
"Mandators, The",Power of the People
Mando Diao,Hurricane Bar
Mando Diao,Ode to Ochrasy
Mando Diao,Mando Diao
Mando Diao,Dance with Somebody
Mando Diao,Bring 'Em In
Mandrew ,The Wonderful World of Mandrew
Mandy Barnett,i've got a right to cry
"Mangfather Bob Katz, The",Caught in a Butt Sandwich
Mango Jam,Preserves
Mango Jam,Flux
Maniak,Phanatik
Maniak,Phanatik
Manic,Floor Boards
Manic Hispanic,Grupo Sexo
Manic Street Preachers,Stay Beautiful
Manic Street Preachers,Slash N' Burn
Manic Street Preachers,Faster
Manic Street Preachers,Everything Must Go
Manic Street Preachers,Remixed
Manic Street Preachers,Found That Soul
Manic Street Preachers,This Is My Truth Tell Me Yours
Manic Street Preachers,Gold Against The Soul
Manifesto,Manifesto
Manitoba,Up in Flames
Mankind Liberation Front,Mankind Liberation Front
Mankind Liberation Front,Mankind Liberation Front
Mankind Liberation Front,Mankind Liberation Front
Manowar,Hell on Stage
Manowar,Louder Than Hell
Mansun,Attack Of The Grey Lantern
Mansun,Six
Mantis,It's a Story
Mantissa,Mary Mary
Mantissa,Mossy Vod
Manu Chao,Experanza
Manu Dibango,Wakafrika
Maogojiata,Maogojiata
MAOW,The Unforgiving Sounds of ...MAOW
Maple,It's My Last Night
Maple,It's My Last Night
