Artist,Album
R. L. Burnside,A Ass pocket of Whiskey 
R.E.M.,Around the Sun
R.E.M.,E-Bow The Letter
R.E.M.,Supernatural Superserious
R.E.M.,Bang and Blame
R.E.M.,A Joyful Noise
R.E.M.,"What's the Frequency, Kenneth?"
R.E.M.,Sponge
R.L. Burnside,Come On It
R.U.O.K.?,R.U.O.K.?
Ra,From One
"Rabies, The",The Rabies 
Rabnett5,Dan's Party
Racer X,Live Extreme Volume II
Races ,Year of the Witch
Racetrack,City Lights
Rachael Sage,smashing the serene
Rachael Yamagata,Elephants...Teeth Sinking Into Heart
Rachel Bissex,Don't Look Down
Rachel Goodrich,Rachel Goodrich
Rachel Goswell,Waves Are Universal
Rachel Jones,2011 Compilation
Rachel Sage,Ballads & Burlesque
Rachel Sage,Delancey St. 
Rachel Sage,Haunted By You
Rachel Sage,Public Record
Rachel Sage,Chandelier
Rachel Van Syke,So I Begin
Rachel Yamagata,Happenstance
Rachid,Requiem Pour Un Con
Rachid Taha,"Olé, Olé"
"Raconteurs, The",Consoler of the Lonely
"Racquet, Les",Be Water My Friend
"Racquet, Les","Racquet, Les"
Radagun,Life Lessons
Radel Esca,From Utopianism to Hedonism
Radio 4,Stealing of a Nation
Radio 4,Enemies Like This
Radio Caroline,Radio Caroline
Radio Citizen,Berlin Serengeti
Radio Deadly,Pure Sonic
Radio Iodine,Radio Iodine
Radio Iodine,Never Meant To
Radio Iodine,Tiny Warnings
Radio Massacre International,Rain Falls in Grey
Radioactive,No Safe Heaven
Radiobaghdad,665: Neighbor of the Beast
Radiohead,Creep
Radiohead,Fake Plastic Trees
Radiohead,The King of Limbs
Radiohead,Live Recordings
Radiohead,Pablo Honey
Radiohead,There there.
Radiohead,College EP
Radiohead ,Optimistic
Radioinactive and Antimc,Free Kamal
Radiorelics,Jack Daniels
Radkey ,Devil Fruit
Rae & Christian,Anotherlatenight
Rae&Christian,Sleepwalking
Raftree,The Long Way
Rage,Renegades of Funk
Rage Against The Machine,Bullet In The Head
Rage Against The Machine,Sleep Now in the Fire
Rage Against the Machine,The Battle of Los Angeles
Rage Against the Machine,Freedom
Rage Against The Machine,Bombtrack
Rage Against the Machine,Guerrilla Radio
Rage Area,Venice Dubtronica
Rage of Angels,Rage of Angels
Rage of Angels,Time and Space
Rageneo,Self Control
Raging Slab,Sing Monkey Sing
"Raging Teens, The",Rock 'N' Roll Party!
Rahsaan Patterson,Rahsaan Patterson
Rahsaan Patterson,Love in Stereo
Rahzel,All I Know 
Raiatea,Sweet & Lovely
Railroad Jerk,The Third Album
Railroad Jerk,One TRack Mind
Raine Maida,The Hunters Lullaby
Rainer Maria,Atlantic
Rainer Maria,Long Knifes Drawn 
Rainer Maria,A Better Revision of Me
Rainer Maria,Anyone in Love with You (Already Knows)
Rainer Maria,Catastrophe keeps us together
Rainr Shine Band,Retro
Raja Nee,Turn It Up
Raja-Nee,Walking Away With It
Raja-neé,Turn It Up
Raja-Neé,Hot & Ready
"Rakes, The",Pass the Lies
"Rakes, The",Retreat
"Rakes, The",automatic volume
"Rakes, The",Capture/Release
Rakim,When I Be On the Mic
Raleigh Moncrief,Watered Lawn
Ralph Carney's Serious Jass Project,Seriously
Ralph Myerz and the Jack Herren Band,A Special Album
Ralph Stanley,Ralph Stanley
Ralph Tresvant,Can't Buy You Love
Ram-Z,Trickin'
Rambient,So Many Worlds
Rame Demetrius Dyusbambee With Listen to the Sun,Let's Heal It
Rammstein,Sehnsucht
Rammstein,Ich Will
Rammstein,Live Aus Berlin
Rammstein,Mutter
Ramona Silver,Ultrasound
Ramona Silver,Trailers
Ramona Silver,You & Me & Hell
Ramona Silver,Death by Candy
Ramones,Poison Heart
Ramones,Their Toughest Hits
Ramones,Mondo Bizarro
Ramones,Substitute
Ramones ,Acid Eaters
Ramones ,Greatest Hits Live
Rancid,Life Won't Wait
Rancid,Fall Back Down
Rancid,Indestructable
Randell & Schippers,Alice in Wonderland
Randell Hirsch & Pigs on Corn,Something to remember me by midnight cowboy
Randi Russo,Fragile Animal
"Randies, The",At the Friendship Motor Inn
"Randies, The",Saw the Light
Randy,The Human Atom Bombs
Randy,Randy the Band
Randy Baldwin &,Trial By Fire
Randy Newman,Harps and Angels
Randy Newman,Bad Love
Randy Weston,Tanjah
Randy Weston,Marrakech in the Cool of the Evening
"Rankin Family, The",Endless Seasons
Ransom and the Sunset,No Time to Lose
Raphael Saadiq,The Way I See It
"Rapture Pieces of the People We Love, The",No Name
"Rapture, The",Echoes
Raquy and the Cavemen,Jordan
Rare Monk,Sleep Attack
Rarewerks,No Name
Rarewerks II,No Name
Ras Kass,Goldyn Chyld
Ras Kass,It Is What It Is
Ras Kass ,Back It Up Ft. Kokane 
Rasputina,Thanks for the Ether
Rasputina,A Radical Recital
Rasputina,Cabin Fever
Rasputina,Transylvanian Resurgurgitations
Rat Wakes Red,Horizon Drops
Ratatat,Ratatat EP
