Artist,Album
"X Anthology, The",Beyond and Back
X Marks The Pedwalk,Retrospective 88-99
"X-Ecutioners, The",X-pressions
X-Press 2,Lazy
X-Press 2 ,Muzikizum
X-ray Actress,Weird Box
X-Ray Actress,X-Ray Actress
Xanax25,Sweet Vermouth
Xanax25,Tidy
Xavier,Dead From Sex
Xavier Black,The Absurd
XC-NN,XC-NN
XC-NN,Looking Forward
XC-NN,Lifted
Xclan,Xodus
Xclan,Fire Earth
XClan,Funkin' Lesson
XClan,Xodus The New Testament 
Xerus ,... This Impossible Everything
Xiu Xiu,Always
Xiu Xiu,Dear God I Hate Myself
Xiu Xiu,Knife Play
Xmas On The Isthmus,Salivation 
Xscape,Understanding
XTC,Apple Venus
XTC,The Ballad of Pumpkin head
XTC,Rag and Bone Buffet
XTC,Rag & Bone Buffet
Xtra Large,NOWiEATthem
XX Teens,Welcome to Goon Island
XBXRX,Wars
