Artist,Album,Location
 Bone thugs-n-harmony ,The Crossroads,
"B-3s, The ",Devil's Bluebeat,
"B-52's, The",Revolution Earth & Is That You Mo-Dean?,
"B-52's, The",Good Stuff,
"B-52's, The",Good Stuff,
"B-52's, The",Funplex,
"B-52's, The",Debbie (ALBUM VERSION),
B-Monster,At Large,
B.B King & Eric Clapton,Riding with the King,
B.R.M.C,Sampler,
B.R.M.C,Screaming Gun,
Baaba Maal & Mansour Seck,Djam Leelii,station
Baba,Mind Music,
Babaloo,Hardcore Juju,
Babbletron,Mechanical Royalty,
Babe the Blue Ox,The Way We Were,
Babe the Blue Ox,People,
Babe the Blue Ox,Babe the Blue Ox live,
Babes and Beavis and Butt-Head in Toyland,Bruise Violence,
Babes in Toyland ,Painkillers,
Babes in Toyland ,Sweet '69,
Babes in Toyland ,Live at the Academy,
Babes in Toyland ,He's My Thing,
Babes in Toyland ,Bruise Violet,
Baby,Baby,station
Baby Animals,Baby Animals,storage
Baby Animals,Early Warning,storage
Baby Chaos,Safe Sex Designer Drugs & the Death of Rock 'n' Roll,station
Baby Chaos,Love Your Self Abuse,storage
Baby Fox,A Normal Family,storage
Baby Guts,The Kissing Disease,station
Baby Lemonade,Exploring Music,station
"Baby Namboos, The",Ancoats2zambia,storage
Baby Oil,Cobra Snap,storage
Baby Strange,Action,station
Baby Strange,Live at the Middle East? Maybe? Who knows,storage
Baby Strange,The Make-Out Sessions,storage
Babybird,Ugly Beautiful,storage
Babyland,2002,storage
Babyland,The Finger,storage
Babylon Zoo,The Boy with the X-ray Eyes,station
Babylon Zoo,Spaceman,storage
Babyshambles,The Blinding EP,storage
Babyshambles,Shoffer's Nation,station
Bacilos,Tabaco y Chanel ,storage
Bacilos,Feliz Conmigo,storage
Back City Wood,Dirt From Which We Came,storage
Backfish,it's emily's,
Backup Planet,Reactions,station
Backyard Babies,Tinnitus,storage
Backyard Tire Fire,Vagabonds and Hooligans (PROMO),storage
Bad Apple,15 Minutes of Shame ,station
Bad Astronaut,Houston: We Have A Drinking Problem ,station
Bad Astronaut,Acrophobe,station
Bad Azz,Wrong Idea ft. Snoopdogg,storage
Bad Azz,How We Get Down ft. The Angels,station
Bad Brains,Maverick,storage
Bad Brains,God of Love,station
Bad Brains,Rise,
Bad Brains,Long Time,
"Bad Hand, The",In This Line Wish You Happiness,
Bad Livers,Blood & Mood,
Bad Manners,Heavy Petting,
Bad News From Houston,In the Valley of the Cloudbuilder,
"Bad Plus, The",Suspicious Activity?,
"Bad Plus, The",Give,
Bad Religion,The Process of Belief,
Bad Religion,The Empire Strikes First,
Bad Religion,Holiday Sampler,
Bad Veins,Bad Veins,
Badlands,A Tribute to Bruce Springsteen's Nebraska,
Badly Drawn Boy,One Plus One Is One,
Badly Drawn Boy,The Hour of Bewilderbeast,
Badly Drawn Boy,Have You Fed the Fish?,
Badly Drawn Boy,Born in the U.K.,
Badmarsh & Shri,Signs,
Badmarsh & Shri,Dancing Drums,
Badmarsh & Shri,Air I Breathe,
Bagga Bownz,Done With The Pain,
Bagheera,Twelves,storage
Bags,Christmas Tail,storage
Bah Ram You,Just the Tip,station
bailter Space,solar.3,storage
bailter Space,Capsul,storage
Baked Goods,One of Those Thigns,storage
Baker Hotel ,Hard to Prove,
Bakers Tree,Purple Kindness,
"Bakerton Group, The",El Rojo,storage
Balbec,Rise and Fall of a Decade,station
Bald Rapunzel ,Diazapam,station
Bald Walter,Curve,station
"Balky Mule, The",The Length of the Rail,storage
Ball'n'Chain,Sands of Time,storage
Balla Tounkara,Be Right,station
Ballboy,Club Anthems,storage
Ballboy,A Guide for the Daylight Hours,station
Balloon Guy,The West Coast Shakes,station
Balsa Gliders,Cookout,station
Balzac,Deep Blue: Chaos from Darkside,
Balzac,Beyond the Darkness,
Bambara,Bambara,
"Bamboos, The",Step it Up,
Banana Fish Zero,Maiden America,
Bananarama,Drama,
Banco de Gaia,10 Years,
Banco de Gaia,Iqizeh,
Bancroft,The Melophibic Solution,
"Band Apollo, The",Soldier or a Spy,
Band Marino,The Sea & The Beast,
"Band of Bees, A",Sunshine Hit Me,
"Band of Bees, A",Free the Bees,
Band of Horses,No Silver/No Gold,
Band of Horses,Cease to Begin,
Bandit Kings,Epic Hello,station
Bandit Queen,Hormone Hotel,
Bane,Give Blood,
Bang Bang Eche,Sonic Death Cuntttt,
Bang Bang Eche,Bang Bang Eche,
Bang Camaro,II,
Bang Gang,Something Wrong,
"Bangkok Five, The",10 the Hard Way,
"Banhart, Devendra",What Will We Be,Station
Banig,Walk,
Banig,Boogie on the Dance Floor,
Banjo ,Spiders,
Banyan,Banyan,
Banyan,Anytime At All,
"Baptist Generals, The",Void Touching Faster Victuals,
Barbara Carroll & Mary Lou Williams,,
Barbara Cook,Tribute,
Barbara Kessler,Notion,
Barbara Kessler,Barbara Kessler,
Barbara Manning,1212,
Barbara Manning,In New Zealand,
Barbara Phaneuf,Good Company,
Barbara Saint John,Cosmic Shindig,
Barcelona,Simon Basic,
Barcelona,From the LP Absolutes,
Bardo,Recurring Dream,
Bardo Pond,Lapsed,
Bardo Pond,Dilate,
Bare Jr.,Brainwasher,
Barefoot Natives,Barefoot Natives,
Barenaked Ladies,Maybe You Should Drive,
Barenaked Ladies,"""Fight the Power"" From The Coneheads Soundtrack",
Barenaked Ladies,Be My Yoko Ono,
Barkmarket,L Ron,
Barkmarket,Lardroom,
Barkmarket,Gimmick,
Barnabys,Delightful Browns,
Barr,Summary,
Barrington Levy & Beenie Man,Murderer,
Barry Adamson ,The Murky World of Barry Adamson,
Barry Adamson ,The King of Nothing Hill,
Barry Keenan,Contrary to Popular Belief,
Barry White,Come On,
Barry White,There It Is,
Barry White ,Practice What You Preach,
Barry White duet Isaac Hayes,Dark and Lovely,
"Barstow Prophets, The","Well, if i'd known she was your sister...",station
Bart Davenport,Palaces,
Barton and Sweeney,On the Timeline,
Barzin,My Life in Rooms,
"Basals, The",Kingpin,
"Basement Boys, The",Mudfoot Jones,
Basement Jaxx,Kish Kash,
"Basement, The",Illict Hugs and Playground Thugs,
"Basement, The",EP,
Bass Drum of Death,GB City,
Bassholes,Long Way Blues/1996-1998,
Bassnectar,Cozza Frenzy,
"Bastard Fairies, The",Memento Mori,
Bastard Noise,Sound Engine,
"Bastard Sons of Johnny Cash, The",Walk Alone,
Bat for Lashes,What's a Girl to Do?,
Bat for Lashes,Fur and Cold,
Batidos,Ojálopé,
"Bats, The",Couchmaster,
"Bats, The",At the National Grid,
Battery ,A Tribute to Rammstein,storage
Battery Acid,Rita,
Battle of Mice,A Day of Nights,
"Battle Royale, The","Wake Up, Thunderbabe",
Battles ,Mirrored,
Battles ,Gloss Drop,
"Battles, The",Tomorrow's Eager Hands,
Battleships,To You,
Bauhaus,Gotham,
Baxter,Promo EP,
Baxter,Baxter (self-titled),
Baxter,Television (album is all mixes of the same song),
Baxter Dury,Len Parrot's Memorial Lift,station
Baylock,One Good To Be Told,
Bayside,The Walking Wounded,
Bayside,Bayside (self-titled),
Bayta Darell,Write Me in Metal,
Bazooka,Sonic Business Environment,
Bazooka,Poor Mr. Rockstar,
Bazooka,Perfectly Square,
Bazooka,"Cigars, Oysters, & Booze",
Bd Mooney ,Sunshine When it Rains,
Be,Be (self-titled),
"Be Good Tanyas, The",Chinatown,
Be Your Own Pet!,Get Awkward ,
Be Your Own Pet!,Be Your Own Pet! (self-titled),
Beach House,Bloom,
Beach House,Beach House (self-titled),
Beach House,Teen Dream,
Beach House,Devotion,
Beach House,7,
Beach House,Depression Cherry,
Beachwood Sparks,Beachwood Sparks (self-titled),
Beachwood Sparks,Once We Were Trees,
Beans,End It All,
Beans  ,Tomorrow Right Now,
Beans on Toast ,Fishing For A Thank You,
Bear The Weather,Rampant ,
Bear vs Shark,Right Now,
Beardo,Beardo (self-titled),
"Bears of Blue River, The",The Killer Bee Scare,
Bearstronaut,Paradice,
Beast Patrol,Fierce & Grateful,
"Beastie Boys, The",Root Down,
"Beastie Boys, The",Hot Sauce Committee Part Two ,
"Beastie Boys, The",Alive,
"Beastie Boys, The",Triple Trouble,
Beat Circus,Dreamland,
Beat Crusaders,All You Can Eat,
"Beat Kids, The",Open Rhythm System,
Beat Soup,Miriam Your Toast Is Burning,
Beat Stings,Fang in Rain,
"Beatifics, The",The Way We Never Were,
"Beatles, The",Let it be... Naked,
"Beatles, The",Free As A Bird,
"Beatles, The",Real Love,
Beatless,Life Mirrors,
Beatnik Termites,Girl Crazy!,
Beau Sia,Attack! Attack! Go!,
Beau Williams,Power,
"Beauticians, The",Imperiale,
"Beautiful Confusion, The",The Beautiful Confusion,
Beautiful Gambler,Love Where,
"Beautiful Mistake, The",This Is Who You Are,
"Beautiful New Born Children, The",hey people!,
"Beautiful South, The",blue is the colour,
Beaux Breez,We On Fire,
Bebek,Open Eyes,
Bebek,Open Eyes,
Bebek,Unknown Title,
Bebel Gilberto,Tanto Tempto,
Bebel Gilberto,Tanto Tempo Remixes,
Bebel Gilberto,Six Degrees,
Bebo & Cigala,Lagrimas Negras,
Because,Because,
Beck,Geurolito,
Beck,Loser,
Beck,Modern Guilt,
Beck,Mutations,
Beck,Pay No Mind (Snoozer),
Beck,Remix EP #1,
Beck,Remix EP #2,
Beck,Sexy Laws,
Beck,"Information, The",
Beck,"New Pollution, The (Remix by Mickey P.)",
Beck,"New Pollution, The ",
Beck,Sea Change,
Beck,Where It's At,
Beck,Promotional ,
Beck,Gameboy Variations ,
Beck,Devils Haircut,
Beck,Cold brains,
Beck,A Brief Overview,
Beck ,Beercan ,
Bedford Davis,It's Not That Kind of Party,
Bedhead,Transaction de Novo,
Bedouin Soundclash,Sounding Amosaic,
Bedroom Heroes,Sea Change,
Bee and Flower,What's Mine Is Yours,
Beecher's Fault,Misbehavior,
Beehive,Pretty Little Thieves,
"Beeps, The",Music for Awkward Situations,
Bees Delux,Space Age Bachelor Pad Blues,
Beezewax,South of Boredom,
Before Braille,"Rumor, The",
"Beggar Folk, The","Beggar Folk, The",
Begushkin,King's Curse,
Behold The Profit,Behold The Profit,
Beirut,Lon Gisland,
Beirut,"Flying Club Cup, The",
Beirut,"Rip Tide, The",
Beirut,March of the Zapotec,
Bekah Barnett,Find Shelter Here,
Bel Air,Forteena,
Bel Canto ,"Shimmering, Warm and Bright",
Bela,Til Summer Ends,
Bela ,Exit Music,
Béla Fleck ,The Bluegrass Sessions,
Bela Fleck & the Flecktones,Flight of the Cosmic Hippo,
Bela Fleck & the Flecktones,Outbound,
Bela Fleck & the Flecktones,Sampler,
Bela Fleck & the Flecktones,Ten from Little Worlds,
Belaire,Exploding,
Believer,Dimensions,
Belizbeha,Charlie's Dream,
Bell Orchestre,Recording a Tape the Colour of the Light,
Bell X1,Blue Lights on the Runway,
Bell X1,Flock,
Bella ,Caught Up ,
Bella Noir,Premonitions,
Bellavista,Bellavista,
Belle Academe,Shimmer,
Belle and Sebastian,Dear Catastrophe Waitress,
Belle and Sebastian,The Life Pursuit,
Belle and Sebastian,The Boy with the Arab Strap,
