Artist,Album,Location
C Average,C Average,
"C-60s, The",The C-60s,
C-Blunt,Cee-Lo and Your Majesty,
C-Murder,What You Gonna Do,
C-Rayz Walz,Ravipops,
C.C. Addock,Self-Titled,
C.C. Incidently,Something Happens,
C2,Cooky Conspiracy,
Cabin,I was here,
Cabin,Govern the Good Life,
Cabin Dogs,Midnight Trail,
CabP,(A) Move to Silent Unrest,
Cactus Motel,Home,
Cactus Peach,Eat ,
Cadallaca ,Introducing Cadallaca,
Cadence,Songs of Vice & Virtue,
Cadence,Poisons the Minds of the Children,
Cadillar Hagda,21 Grams,
Caesar & the Imperial Orgy,"four legs good, two legs baaad!",
Caesars,Strawberry Weed,
Caesars,39 minutes of bliss,
Caesars,Paper Tigers,
Cafe del Mar,Volume 7,
Cafe Tacuba,Selections from Reves/Yosov,
Cafe Tacuba,Cuatro Caminos,
Cafe Tacuba,Vale Callampa,
Cafe Tacuba,Reves,
Cafe Tacuba,Avalancha de Exitos,
Cage,Hell's Winter,
Cagnee and Lacee,Six Feet of Chain,
"Cairos, The",Colours like Features,
Caitlin Frame and the Living Daylight,Self-Titled,
Caitlin Nicol-Thomas,Troubled Times,
Caitlyn Rose,The Stand-In,
Cake,3 Song Sampler,
Cake,Short Skirt/ Long Jacket,
Cake,Never There,
Cake,Sampler,
Cake,Comfort Eagle ,
Cake ,Pressure Chief,
Cake Like,Bruiser Queen,
Caled Travers & Big City Lights,Blue Weathered Dreams,
Calendar for Preston,Paint by Numbers,
Calendar Girl,[everyone but you],
Calendar Girl,Cool Rocketships in Space,
Calexico,Garden Ruin,
Calexico,Carried to Dust,Storage
Calibos,Self Titled,
Call | Florence | Pow,These are the Plans,
Call Me Alice,All Against 5ive,Storage
Call Me Lightning,Soft Skeletons,station
"Call, The",Love is Everywhere,
"Call, The",To Heaven and Back,
"Call, The",Ed Moon,
Calla ,Televise,Storage
Callers ,Reviver,station
Calm Paradox,How to Mind,Storage
Calpop,Best Record in the World,station
Calvin Johnson and the Sons of Soil,Self-Titled,station
Calvin Yordy,Lost in the Dirac Sea,station
Cameen,Self-Titled,trash
"Campbells, The","The Kid from Gillette, Wyoming",station
"Campbells, The",The Inside of Out There,station
Camper van Beethoven,New Roman Times,Storage
Camper van Beethoven,"Camper van Beethoven is Dead, Long Live Camper van Beethoven",Storage
Camper van Beethoven,Reissue Sampler,station
Campfire Girls,Delongpre,station
Campfire Girls,Mood Enhancer,Storage
Campfire Girls,Tell Them Hi,Storage
Camphor,Drawn to Dust,station
Can,Sacrilege,Storage
Can You Read This Boston?,Self-Titled,station
Canadian Invasion ,Sogns for the Atco Ghost,station
Canago,Fun EP,station
Candida Pax,All Green Lights,station
Candy Butchers,Hang on Mike,Storage
Candy Butchers,Play with Your Head,Storage
Candy Butchers,Live at La Bonbonniere,station
Canibus,Get Retarded,trash
Canibus,Can-I-Bus,station
Canine,Sic'em,
Cannibal Corpse,Vile,Storage
Cannibal Corpse,Gallery of Suicide,
Cannibal Corpse ,Cannibalism,
Cantoo ,Self Titled,station
