Artist,Album,Location
d,Volume Three,
D-Town Brass,Golden Belt,
D.A.D.,Grow Or Pay,
D.A.D.,Riskin' It All,
D.D. Wood,Tuesdays are Forever,
D.O.A.,Festival of Atheists,
D.O.A.,Live Free Or Die,
D.O.A.,Northern Avenger (Sudden Death) ,
D.O.A.,Talk Minus Action Equals Zero,
"D.O.C., The",No One Can Do It Better,
D.R.I,Definition ,
D’Angelo,Voodoo,
"D4, The",6Twenty,
Da Lata,Serious,
DAATH,The Hinderers,
Dada,American Highway Flower,
Dadawa,Sister Drum,
Dadawa,Three Moments,
Dadawa,Three Moments,
Daddy Freddy,Raggamuffin Soldier,
Daddy Freddy,Raggamuffin Soldier,
Daddy Freddy,Stress,
Daddy Freddy,Stress,
Daddy G,DJ-Kicks,
Daddy G,DJ-Kicks,
Daddy Longhead,Supermasonic,
daddylonglegs,HORSE,
daedelus,rethinking the weather,
Daevid Allen & Kramer,Hit Men,
Daevid Allen & Kramer,Who's Afraid,
Daft Punk,Alive,
Daft Punk,Alive 1997,
Daft Punk,Discovery,
Daft Punk,Homework,
Daft Punk,Human After All,
Daft Punk,One More Time,
Dag,Our Love Would Be Much Better (If I Gave A Damn About You),
Dag,Righteous,
Dag ,Apartment #635,
"Dagons, The",Teeth For Pearls,
"Daisies, The",Kowloon House,
Daisy Cutter,Don’t Tread on Me,
Dakoda Motor co.,railroad,
Dale Earnhardt Jr. Jr.,It’s A Corporate World,
Dale Earnhardt Jr. Jr.,Patterns ,
Dallas Orbiter,Magnesium Fireflies,
Dalminjo,Fjord Fusioneer,
"Damage Manual, The",The Damage Manual,
Damaged Californians,Music from Films and Videos,
DamagePlan,Devastation Sampler,
DamagePlan,New Found Power,
"Dambuilders, The",Against the Stars,
"Dambuilders, The",Drive-By Kiss,
"Dambuilders, The",Jailbreak '94,
"Dambuilders, The",Ruby Red,
"Dambuilders, The",Tough Guy Problem,
Dame Satan,Ghost Mansion,
Damian Marley,Me Name Jr. Gong,
Damien Jurado,And Gathered in Song ,
Damien Jurado,Rehearsals for Departure,
Damien Jurado,Waters Ave,
Damien Marley,Welcome to Jamrock,
Damien Rice,9,
Damn Bullets,Electric Folk Boogie,
Damn The Machine,Damn The Machine,
Damn The Machine,Lonesome God,
Damn The Machine,The Mission,
"Damnations TX, The",Half Mad Moon,
Damnien Jurado,Ghost of David,
Damon & Naomi,Playback Singers,
Damon & Naomi,With Ghost,
Damon Aaron,Ballast,
Damone,From The Attic,
Damone,Out Here All Night,
Damone,Out Here All Night EP,
Dan Baird,Love Songs For The Hearing Impaired,
"Dan Band, The",Total Eclipse of the Heart,
Dan Bern,Dan Bern,
Dan Bern,Fifty Eggs,
Dan Black,The Hours,
Dan Coleron,Silt,
Dan Deacon,Acorn Master,
Dan Deacon,America,
Dan Deacon,Bromst,
Dan Deacon,Spiderman Offerings,
Dan Kibler,Capsule,
Dan le lac vs Scroobius Pip,Angles,
Dan Marshall Band,Live At Penn State,
Dan Marshall Band,Rave & Roll,
Dan Masterson,Learn to Live,
Dan Page,Nova Missoula,
Dan Penn,Do Right Man,
Dan Peter,Transistor,
Dan Potthast,Sweets and Meats,
"Dan Sheehan Conspiracy, The",Are You Conspirienced?,
"Dan Sheehan Conspiracy, The",The Dan Sheehan Conspiracy,
Dan wilson,Free Life,
Dan Zanes,Cool Down Time,
Dana Falconberry,Leelanau,
Dana Mase,Diary,
Dana Robinson,The Trade,
Danava,S/T,
Danava,UnonoU,
Danax,Danax,
Dance Hall Crashers,Honey I'm Homely,
Dance Hall Crashers,Mr. Blue,
Dance Hall Crashers,Purr,
"Dance Party, The",Touch,
Dancing,Fantasy,
Dancing Choose,TV on the Radio,
Dancing Heals,Dancing Heals,
Dancing Through The Walls,Dancing Through The Walls,
Dandelion,Dyslexicon,
Dandelion,I Think I'm Gonna Be Sick,
Dandelion Fire,Dandelion Fire,
Dandelion Fire,Revolution,
"Dandy Warhols, The",Every Day Should Be a Holiday,
"Dandy Warhols, The",Tales From Slabtown,
"Dandy Warhols, The",Tales from Slabtown Vol. 2,
"Dandy Warhols, The",Thirteen Tales from Urban Bohemia,
"Dandy Warhols, The",Welcome to the Monkey House,
Danger Mouse & Daniele Luppi,Rome,
Danger Mouse & Sparklehorse,Dark Night of the Soul,
Dangerous Adventures ,Futurous ,
Daniel Amedee,Climbing,
Daniel Amedee,Every Thing Will Change,
Daniel Barrett,Shadows,
Daniel Cartier,Live from New York—The Subway Session,
Daniel Champagne,The Heartland Hurricanes,
Daniel Jacobs,Our World Today,
Daniel Johnston (The Late Great),Discovered Covered,
Daniel Lanois,For the Beauty of Wynona,
Daniel Liszt,The Midnight Broadcast,
Daniel Martin Moore,In The Cool of the Day,
Daniel Mountain Moore,Stray Age,
Daniel Tashian,Sweetie,
Daniel Yakut,Bound to Go,
Danielle Aument,Songs for You,
Danielle Dax,The BBC Sessions,
Danielle Duval,Of the Valley,
Danielle Howle and the Tantrums,Do a Two Sable,
Danielle Howle and the Tantrums,Skorborealis,
Danilo Perez,Danilo Perez,
Danilo Perez,The Journey,
Danko Jones,Born a Lion,
Danko Jones,Danko Jones,
Danko Jones,Rock and Roll is Black and Blue,
Danko Jones,Sleep is the Enemy,
Danny Allen,Howdy,
Danny Flowers,Forbidden Fruits and Vegetables ,
Danny Howells,24:7,
Danny Howells,Nocturnal Frequencies 3,
Danny Kalb,Moving in Blue,
Danny Lerman,the swiss army romance,
danny mcguinness,Room 809,
Danny Peck,Blind Curve,
Danny Saber ,Saber Bytes,
Danny Schmidt,Enjoying the fall,
Danny Schmidt,Six Billion Stars,
Danny Tate ,Nobody's perfect,
Danny Tenaglia,Back to basics,
Danny Tenaglia,Back to mine,
Danzig,5blackacidevil,
Danzig,Dirty Black Summer,
Danzing,thrall-demonsweatlive,
Danzing,Until You Call On the Dark,
"Dao, The",Son For,
"Daou, The",Head Music,
Daphne Lee Martin,Moxie,
Dappled Cities,Granddance,
Dappled Cities,Zounds,
Dar Williams,End of the Summer,
Dar Williams,Mortal City,
Dar Williams,The Christians and the Pagans,
Dar Williams,The Honesty Room,
Darden Smith,Little Victories,
Darden Smith,Trouble No More,
Darediablo,Feeding Frenzy,
Darediablo,Twenty Paces,
"Darelicks, The",Ordinary Men,
Dario,Lies,
Dario,Sunmachine,
Dark Dark Dark,The Snow Magic,
"Dark Fantastic, The",The Dark Fantastic,
Dark Sun Riders,Seeds of Evolution,
Dark Techno,One/Nine-Nine,
Darkel,Darkel,
Darker My Love,2,
Darker My Love,Alive As You Are,
Darker My Love,Darker My Love,
"Darkness, The",One Way Ticket to Hell,
Darla Farmer,Rewiring the Electric Forest,
"Darling Buds, The",Erotica,
"Darling Buds, The",Long Day in the Universe,
"Darling Buds, The",Please Yourself,
"Darling Buds, The",Pop Said,
Darling Violetta,The Kill You,
Darlings,Warma,
Darol Anger,Diary of a Fiddler,
Darrell Scott,Family Tree,
Darrell Scott,The Invisible Man,
Darren Emerson & Tim Deluxe,Underwater Episode 1,
Darren Price,Under The Flightpath,
Darryl Shannon Holt,Long Journey,
Darryl Shanon Holt,Forward,
Darryl Shanon Holt,The Singles,
DAS EFX,Dead Serious,
Dashboard Confessional,Dusk and Summer,
Dashboard Confessional,So Impossible,
Dashboard confessional ,a mark a mission a brand a scar,
Dashboard confessional ,,
Dashboard Survivors,spinnin on down,
Datsuns,sampler,
"datsuns, the","datsuns, the",
