Artist,Album
(S)he,Animal
(Seven Hundred) 700 Miles ,(Seven Hundred) 700 Miles 
A Soundless Records Compilation,A Soundless Records Compilation
A Split Second,Kiss of Fury
Once11,Smile Hunter
S. Doug,That's Hot
S. I. Futures,The Mission Statement
S.C.U.M.],Again Into Eyes
S.F. Blues Guitar Summit,Volume I
S.F. Blues Guitar Summit,Volume II
S.F. Blues Guitar Summit,Volume II
S.F. Seals,Truth Walks In Sleepy Shadows
S.I.Futures,The Mission Statement
"S.O.S. Band, The",Broken Promises
"S.O.S. Band, The",One Of Many Nights
"S.O.S. Band, The",Sometimes I Wonder
S.P.O.C.K.,Assignment: Earth
Sabadoh,Weird
Saboteur,Saboteur
Sabres of Paradise,Septic Cuts
Sabrina Starke,Sabrina Starke
Sabrosa Purr,Music From the Violent Room
Sacha Sacket,Shadowed
Sachin Raj,Sachin Raj
Sackmille,How Ebb
Sackville,These Last Songs
Sacred animals,Welcome Home
Sacred Onion,A Series of Addictions
Sacred Reign,Looking For Love
Sacrifice,Soldiers of Misfortune
Sacrifice,Apocalypse Inside
Sacrifice Isaac,Migraine
Sad Girl,Twenty Years
Sadako,The Thousand Paper Cranes
"Sadies, The",Tremendous Efforts
Sadistik,Prey for Paralysis
Saeed and Palash,Tide:Edit:07
"Safes, The",Well Well Well
"Safes, The",Family Jewels
Safety Orange,State of Where I Am
Safriduo,Episode II
Sage,The Standard Rd.
Sage Francis,XXX
Sahara Hotnight,C'mon Let's Pretend
Sahara Hotnight,Keep Up The Speed
Sahul,...Of Skin & Saliva
Said mrad,One Thousand and One Nights
Sailed Doves,Sailed Life
Sailor Sam,Sailor Sam
Saint Etienne,Like a Motorway
Saint Etienne,Good Humor
Saint Etienne,You're in a Bad Way
Saint Etienne,Only Love Can Break Your Way
Saint Etienne,Saint
Saint Etienne,Interlude
Saint Etienne,nothing can stop us
Saint Etienne,travel Editin1990-2005
Saint Motel ,Puzzel Pieces 
Saint Solitude,By Some Great Storm
"Saints, The",Imperious Delirium
Sal DiFusco,Nevertheless
Salaam,Positive Black Soul
Salad,Ice Cream
Salako,Musicality
Salamander Crossing,Bottleneck Dreams 
SALEM,love it or leave me
"Salesman & Bernadette, the",Vie Chesnutt
Salif Keita ,Amen
Saliva,Back Into Your System
Saliva,Blood Stained Love Story
Sallie,the heart. the bird. the anchor
Sally,Sally
Sally ,Unknown
Salmon,Paco... Drop the Chicken
Salsa Exploin,Salsa Explosion
Salt,Auscultate
Salt,Bluster
Salt-N-Pepa,None of Your Business
Salt-N-Pepa,Shoop
Salty Dog ,Come Along
Salute!,The World War II Tribute Album
Sam Adams,Songs from the Desert
Sam Bisbee,High
Sam Black Church,Boston 
Sam Black Church,Let In Life
Sam Champion,Three Songs
Sam Kiniger,Sam Kiniger
Sam Phillips,Lying
Sam Phillips,Omnipop
Sam Phillips,Fan Dance
Sam Phillips,Martinis & Bikinis
Sam Roberts,Chemical City
Sam Roberts,We Were Born In A Flame
Sam Roberts,The Inhuman Condition
Sam Silva and the Gook,...And the People Say
Sam Weiser,Sam I Am
Sam Winch,The Lullabadeer
Sam-N-The-Swing,DIscover America
Samadhi,"Live @ Barrio, NYC 1/23/02"
Samael,Passage
Samantha Crain and the Midnight Shivers,Songs in the Night
Samantha Natalie,A Great Wall
Samara Lubelski,Parallel Suns
Sami the great,Nothing Left To See
Samiam,you are freaking me out
Samiam,Astray
Samiam,Clumsy
Samiam,She Found You
Sammy,Tales of Great Neck Glory
"Samples, The",Autopilot
"Samples, The",The Last Drag
"Samples, The",the Samples
Samsara,fast too slow
Samuel Claiborne,"Love, Lust, and Genocide"
San Cisco,San Cisco
San Diego is Burning,San Diego is Burning
Sanctus,Aeon Sky
Sand Machine,The Difference Is
Sand Rubies,Goodbye
Sandals,Feet
Sandals,Rite to Silence
Sandbox,Me & Him and Horse
Sander Kleinenberg,Nubreed
Sandi Thom,Smile.. It Confuses People
Sandman,My Place
Sandman The Rappin' Cowboy,Red State Blues
Sandra Bernhard,"excuses for bad behavior, part 1"
Sandy Ross,Coloring Outside the Lines
Sane,Sane
Sanetity,Road to Bloodshed
Sang'n Clarence,Lay'n...It Onya!
Sanne Salomonsen ,What Does It Matter
Santino,Hard to Get... (Rid Of)
Santogold,Creator
Santogold,Santogold
Sara Devines,The Truth
Sara Evans,born to fly
Sara Lee,Make It Beautiful
Sara Lov,Seasoned Eyes Were Beaming
Sara Lov,The Young Eyes EP
Sara Lovell,Coming To
Sarah Blanko,The Overscore and the Underscore
Sarah Borges and the Broken Singles,Stop and Think it Over
Sarah Borges and the Broken Singles,Do It For Free
Sarah Borges and the Broken Singles,The Stars Are Out
Sarah Borges and the Broken Singles,The Day We Met
Sarah Brightman,Classics
Sarah Cracknell,Lipslide
Sarah Defors,Sarah Defors
Sarah Dougher,The Walls Ablaze
Sarah Fimm,Ccooned
Sarah FImm,red yellow sun
Sarah Fimm,White Birds
Sarah Fimm,A Perfect Dream Taster Disc
Sarah Goff,Dirt
Sarah Jahn,Sparkle
Sarah Jarosz,Song Up In Her Head
Sarah Lee Guthrie & Johnny Irion,Bright Examples
Sarah Lupo,Sarah Lupo
Sarah McLachlan,Touch
Sarah McLachlan,Sweet Surrender
Sarah McLachlan,Mirrorball
Sarah McLachlan,Solace
Sarah McLachlan,Into The Fire
Sarah McLachlan,I Will Remember You
Sarah McLachlan,Possession
Sarah Mendelsohn,If
Sarah Pinsker,Charmed
Sarah Popejoy ,"""Live at Radio City"" "
Sarah rabdau,Benevolent Apollo
Sarah Scharff,Sophia
Sarah Shannon,Sarah Shannon
Sarah TOllerson,Keeping Old Love Letters
Saraya,Hitchin' a Ride
Sarge,The Glass Intact
Sarkoma,Integrity
Sarkoma,Blue Horizon
Sarolta Zalatnay,Satolta Zalatnay
Sasha,Airdrawndagger
Sasha,Win or Lose
Sasha Lazard,The Myth of Red
Sasha Lazard,Awakening
Sasquatch,Sasquatch
Satchel,EDC
Satchel,EDC
Satchel,The Familiy
Satchel,Isn't That Right
Satellite 7,Satellite 7
Satin Smooth,Mamma Never Told Me
Satin Smooth,The Awakening
Satiricon,Volcano
Satisfact,The Third Meeting at the Third Counter
Saturday Looks Good to Me,Fill Up the Room
Saturday Looks Good To Me,Every Night
Saturday Night in bombay,Remember Shakti
Saturn's Child,Saturn's Child
Saturna,Some Delicious Enemy
Sauce,"""Where Are You Going"""
"saucers, the",eternal intermission
Saul Williams,Amethyst Rock Star
Saul Williams,Saul Williams
Sausage,Riddles are Abound Tonight
Sava's Mood,Sava's Mood
Savage,Savage Promo
Savath & Savalas,Apropa't
Save Ferri,Modified
Save Ferris,it means everything
Save Ferris,The World is New
Save Ferris,Save Ferris
Save Ferris,Mitaken
Saves the Day,Under the Boards
Saves the Day,Sound the Alarm
Saves the Day,Sampler
Saves the Day,In Reverie
Saves the Day,Ups & Down: Early Recordings and B-Sides
Savoir Adore,In The Wooded Forest
"Saw Doctors, The",Songs from the Sun Street
"Saw Doctors, The",Villains
Saxon,Unleash the Beast
Saxon,Requiem (We Will Remember)
Saxon Shore,The Exquisite Death of Saxon Shore
Say Anything,...is a Real Boy
Say Anything,"Anarchy, My Dear"
Say Hi to your Mom,Ferocious Mopes
Say When,Waking Up the World
Say Zuzu,Bull
Scala & Kolacny Brothers,Scala & Kolacny Brothers
Scala & Kolacny Brothers,Scala & Kolacny Brothers
Scanner,Lauwarm Instruments
Scanner,Lauwarm Instrumentals
ScannerFunk,Wave of Light by Wave of Light
Scapegoat Wax,Luxurious
Scapegoat Wax,Okeeblow
Scapegoat Wax,Luxurious
Scar Crow,davesnakedass!
Scarab,Scarab
Scared of Chaka,tired of you
Scarface,The Untouchable
Scarface,The Diary
Scarface,The Last of a Dying Breed
Scarface of the Geto Boys,Let Me Roll
Scarlet Youth,Everchanging View
Scarnella,Scranella
Scars of Tomorrow,Rope Tied to the Trigger
Scary Kids Scaring Kids,The Only Medicine
Scat Opera,About Time
"scatalites, the",greetings from skamania
Scatter The Ashes,epitaph
Scattered Trees,Song for my Grandfather
Scatterfield,Mesh
Scatterfield,When You Were Here
Schascle,Can't Get Love With Money
Schatzi,Fifty Reasons To Explode
Schatzi,Death of the Alphabet (ep)
Scheer,Infliction
Schizowave,Love
Schleprock,(america's) dirty little secret
Schneider TM,Zoomer
Schnell-Fenster,Love-Hate Relationship
Schönherz and Scott,Under a Big Sky
School of Fish,Wrong
School of Fish,Take me Anywhere
School of Fish,Human Cannonball
School of Seven Bells,Alpinisms
Schoolboy Q,Oxymoron
Schoolly D,Am I Black Enough For You?
